"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_2w_2","MOLM13_2w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N-Acetylaspartic acid","Com_9_neg","N-Acetylaspartic acid","C6 H9 N O5",175.0479,1.89,174.04062,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",7283368047.00002,8053794041,9056428664,10405917060,11448305317,33.3455500322322,32.9150917123519,0.430458319880323,0.0327771357299438,0.216766816445046,"up",1.37803168828207
"Salicylic acid","Com_10_neg","Salicylic acid","C7 H6 O3",138.0316,6.055,137.02432,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Salicylic acids",2517728843,1789300128,5727311994.99999,3859530718,6036581483,32.1684314652985,31.4604783569224,0.707953108376113,0.319152513111105,0.331110419236539,"stable",0.792946070326988
"4-Oxoproline","Com_15_neg","4-Oxoproline","C5 H7 N O3",129.04251,2.175,128.03523,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",3946199072,3897215569,3983636167,4121124852,5018566860,32.0825096578194,31.8763506408412,0.206159016978194,0.383436999238455,0.356916910460203,"stable",1.15474310775891
"D-(+)-Malic acid","Com_16_neg","D-(+)-Malic acid","C4 H6 O5",134.02145,1.536,133.01417,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",3926513881,4627134076,4994311432,3424153622,3477538917,31.6842598982799,32.0652374163582,-0.380977518078247,0.0636175442480638,0.24208684128651,"stable",1.32794630669487
"Uridine monophosphate (UMP)","Com_22_neg","Uridine monophosphate (UMP)","C9 H13 N2 O9 P",324.03586,1.478,323.02858,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",994759635.299999,1036997368,1024596209,836587321.1,104989570.3,28.1428058343838,29.9239820421647,-1.78117620778091,0.444958397369551,0.378383113046947,"stable",1.05032774690565
"D-(-)-Fructose","Com_33_neg","D-(-)-Fructose","C6 H12 O6",180.06343,1.326,225.06168,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","C-glycosyl compounds",294800997.3,314374652.2,244331228.2,231240972.6,267074335.6,27.8887439555474,28.0757796162418,-0.187035660694374,0.309863540624576,0.328284904904225,"stable",0.864410844261929
"L-Threonic acid","Com_36_neg","L-Threonic acid","C4 H8 O5",136.03715,1.359,135.02987,"Full match","Full match","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",211131557,233379677.8,276381059.5,264833235.9,290689345,28.0477059489074,27.8312513988112,0.216454550096191,0.201237289060244,0.304420562847123,"stable",0.974078055934158
"Methylmalonic acid","Com_40_neg","Methylmalonic acid","C4 H6 O4",118.02656,2.606,117.01928,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",1491393768,1541466647,1523701993,1076199424,1115009436,30.0288535335142,30.5002014069526,-0.471347873438365,0.00889064122732905,0.181279962628559,"down",1.54293091220316
"D-α-Hydroxyglutaric acid","Com_42_neg","D-α-Hydroxyglutaric acid","C5 H8 O5",148.03712,1.983,147.02984,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives",629041535.999999,646273181.3,695239040.4,934668303.700001,853530135.599999,29.7343730399708,29.289694260557,0.444678779413874,0.0341989571994551,0.217442440103929,"up",1.48937558142035
"DL-4-Hydroxyphenyllactic acid","Com_52_neg","DL-4-Hydroxyphenyllactic acid","C9 H10 O4",182.05795,5.233,181.05067,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",91092857.51,103437297.6,123409770.9,150238608.2,168717913,27.2463591379508,26.6479657444271,0.598393393523736,0.0294734016951738,0.214965985715661,"up",1.38209659125144
"2-Hydroxycaproic acid","Com_64_neg","2-Hydroxycaproic acid","C6 H12 O3",132.07863,5.736,131.07136,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",331369933.6,243171772.7,272824400.1,232260976,315850460.9,28.0129189857872,28.0615551445268,-0.0486361587396011,0.870046175032941,0.535349330907653,"stable",0.183281883945307
"N-Acetyl-α-D-glucosamine 1-phosphate","Com_77_neg","N-Acetyl-α-D-glucosamine 1-phosphate","C8 H16 N O9 P",301.0574,1.569,300.04879,"Full match","Full match","Full match",NA,NA,NA,NA,52034946.38,62720110.46,63398232.59,60668772.4,55419455.6699999,25.789169994333,25.817780523072,-0.0286105287389802,0.816832865005251,0.519620377990712,"stable",0.196935794948029
