"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N-Acetylaspartic acid","Com_9_neg","N-Acetylaspartic acid","C6 H9 N O5",175.0479,1.89,174.04062,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",7283368047.00002,8053794041,9056428664,7564047040.99999,8770968734.00002,7802512896.00001,32.9026306426653,32.9150917123519,-0.0124610696865588,0.91491595541009,0.583566228545491,"stable",0.0924890826447692
"Salicylic acid","Com_10_neg","Salicylic acid","C7 H6 O3",138.0316,6.055,137.02432,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Salicylic acids",2517728843,1789300128,5727311994.99999,2332464121,3387359296,1089683310,30.9326611279194,31.4604783569224,-0.527817229002981,0.643901781698969,0.496536181212163,"stable",0.591245759963689
"4-Oxoproline","Com_15_neg","4-Oxoproline","C5 H7 N O3",129.04251,2.175,128.03523,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",3946199072,3897215569,3983636167,6156675493.00001,4756088878.99999,5601598521.00001,32.3499414507532,31.8763506408412,0.473590809911943,0.0439455467224417,0.244611407014491,"up",1.50828420858792
"D-(+)-Malic acid","Com_16_neg","D-(+)-Malic acid","C4 H6 O5",134.02145,1.536,133.01417,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",3926513881,4627134076,4994311432,5823283306,5260257323,5102453958.99999,32.3267386684253,32.0652374163582,0.261501252067099,0.243504859858254,0.34874680078459,"stable",1.23535199739158
"Uridine monophosphate (UMP)","Com_22_neg","Uridine monophosphate (UMP)","C9 H13 N2 O9 P",324.03586,1.478,323.02858,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",994759635.299999,1036997368,1024596209,751479021.5,718860111.4,633100380.8,29.3813841411094,29.9239820421647,-0.542597901055316,0.0231312768345392,0.211811145979232,"down",1.59893074044554
"D-(-)-Fructose","Com_33_neg","D-(-)-Fructose","C6 H12 O6",180.06343,1.326,225.06168,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","C-glycosyl compounds",294800997.3,314374652.2,244331228.2,269381807.2,187025116.2,193409627.9,27.6702727798062,28.0757796162418,-0.405506836435649,0.155677955518896,0.30522010080083,"stable",1.18150775243155
"L-Threonic acid","Com_36_neg","L-Threonic acid","C4 H8 O5",136.03715,1.359,135.02987,"Full match","Full match","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",211131557,233379677.8,276381059.5,441196382.6,304490811.3,425473530.2,28.5210544375524,27.8312513988112,0.689803038741228,0.0741239404513775,0.263455108373787,"stable",1.4284534077887
"Methylmalonic acid","Com_40_neg","Methylmalonic acid","C4 H6 O4",118.02656,2.606,117.01928,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",1491393768,1541466647,1523701993,1644444329,1431672956,1823645199,30.5980619234351,30.5002014069526,0.0978605164824629,0.459752643997184,0.431379551543047,"stable",0.717796295451142
"D-α-Hydroxyglutaric acid","Com_42_neg","D-α-Hydroxyglutaric acid","C5 H8 O5",148.03712,1.983,147.02984,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives",629041535.999999,646273181.3,695239040.4,1240163384,1204576725,1465624421,30.2742101658142,29.289694260557,0.984515905257282,0.00270851332598315,0.149548757850205,"up",1.62877327242127
"DL-4-Hydroxyphenyllactic acid","Com_52_neg","DL-4-Hydroxyphenyllactic acid","C9 H10 O4",182.05795,5.233,181.05067,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",91092857.51,103437297.6,123409770.9,181693452.3,110052031.3,188825245.2,27.2143393806051,26.6479657444271,0.566373636177982,0.163928861857841,0.310170420159633,"stable",1.17851911130413
"2-Hydroxycaproic acid","Com_64_neg","2-Hydroxycaproic acid","C6 H12 O3",132.07863,5.736,131.07136,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",331369933.6,243171772.7,272824400.1,199709203.7,243634506.3,223052427.8,27.7220921429065,28.0615551445268,-0.339463001620281,0.252159204345506,0.351841417352633,"stable",1.2283287314377
"N-Acetyl-α-D-glucosamine 1-phosphate","Com_77_neg","N-Acetyl-α-D-glucosamine 1-phosphate","C8 H16 N O9 P",301.0574,1.569,300.04879,"Full match","Full match","Full match",NA,NA,NA,NA,52034946.38,62720110.46,63398232.59,100723414.7,74469145.68,84059008.92,26.3536208133535,25.817780523072,0.535840290281481,0.128799436858658,0.289806797437973,"stable",1.43341951904587
"D-(-)-Mannitol","Com_101_neg","D-(-)-Mannitol","C6 H14 O6",182.07898,1.332,181.07184,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols",14618889.34,12404754.8,14015083.41,15168057.24,12744737.11,19921165.65,23.9019099958419,23.7020657497212,0.199844246120616,0.323406869183921,0.37387329950947,"stable",0.740708451427403
"Uridine 5'-diphosphogalactose","Com_126_neg","Uridine 5'-diphosphogalactose","C15 H24 N2 O17 P2",566.05541,1.753,565.04813,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",2790650479,2828894103,2970294299,3516183888,3072375880,3271235524,31.6117531492312,31.4145013524914,0.197251796739856,0.101962704859526,0.273713126852116,"stable",1.40270461465588
"Suberic acid","Com_136_neg","Suberic acid","C8 H14 O4",174.08918,5.922,173.0819,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",33597613.55,29846217.4,39975070.58,27903201.24,27804300.07,28663419.73,24.7451464674525,25.0284991454297,-0.283352677977163,0.122109859822064,0.286089120735444,"stable",1.25325420398174
"Υ-Aminobutyric acid (GABA)","Com_170_neg","Υ-Aminobutyric acid (GABA)","C4 H9 N O2",103.06328,1.355,102.05606,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Gamma amino acids and derivatives",272233336.5,294314882.7,327195532.6,429637890.3,391414921.9,372747214.9,28.5654306130427,28.1462105229176,0.419220090125098,0.0908613857976823,0.269395811376221,"stable",1.50564366163768
"Threonine","Com_177_neg","Threonine","C4 H9 N O3",119.05827,1.314,118.051,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","D-alpha-amino acids",16886717.92,18679492.78,22196993.98,47598042.79,28517014.83,37608544.52,25.1447585621248,24.1893995139803,0.955359048144516,0.072987016536078,0.26299554813536,"stable",1.4807292614347
"N-Acetylalanine","Com_183_neg","N-Acetylalanine","C5 H9 N O3",131.05817,2.71,130.0509,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",152544018.2,155135290.8,169984803.6,234009211.2,191663648.9,271877577.2,27.7781245026998,27.2448108586925,0.533313644007272,0.0438044004763302,0.244473017084152,"up",1.43836234439593
"D(+)-Phenyllactic acid","Com_205_neg","D(+)-Phenyllactic acid","C9 H10 O3",166.06292,5.735,165.05564,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",120559538.6,18150073.47,133362988,106259410.1,123653290.1,111771631.9,26.760239861834,25.9831419015335,0.777097960300484,0.516865268652961,0.449889972602676,"stable",0.635603898634816
"D-(-)-Ribose","Com_265_neg","D-(-)-Ribose","C5 H10 O5",150.05271,1.447,149.04542,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",14220829.61,15572355.14,19666168.05,27930418.1,27594782.44,25183757.88,24.6797387498656,23.9610662171912,0.718672532674471,0.0608962805446948,0.25718822528033,"stable",1.53708203901889
"α-D-Glucose-1,6-bisphosphate","Com_269_neg","α-D-Glucose-1,6-bisphosphate","C6 H14 O12 P2",339.99609,1.184,338.9888,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",53658952.31,60670819.03,61013754.9499999,67876010.15,58080399.5699999,85012715.14,26.0497072575113,25.7981487289694,0.251558528541853,0.261339876638845,0.354954651203481,"stable",0.985547240705119
"4-Nitrophenol","Com_309_neg","4-Nitrophenol","C6 H5 N O3",139.0269,0.412,138.01962,"Full match","Full match","Full match","Benzenoids","Phenols","Nitrophenols","Nitrophenols",9423712.676,8583548.618,9654407.841,8342878.58699999,4297266.399,9135170.11299999,22.7167005897253,23.1345877484595,-0.41788715873416,0.288047108596177,0.363137443208415,"stable",0.857055000794288
"(2R)-2,3-Dihydroxypropanoic acid","Com_322_neg","(2R)-2,3-Dihydroxypropanoic acid","C3 H6 O4",106.02659,1.439,105.01931,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",15369251.22,18502784.33,19382595.15,28722758.24,30524129.57,26342388.87,24.7633402095833,24.0743470018806,0.688993207702701,0.0356483202104326,0.235002195291649,"up",1.56923734764614
