"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_2w_2","MOLM13_2w_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N-Acetylaspartic acid","Com_9_neg","N-Acetylaspartic acid","C6 H9 N O5",175.0479,1.89,174.04062,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",7283368047.00002,8053794041,9056428664,10405917060,11448305317,7564047040.99999,8770968734.00002,7802512896.00001,33.0797983984921,32.9150917123519,0.1647066861402,0.307311435671261,0.264237682112113,"stable",0.733332393604741
"Salicylic acid","Com_10_neg","Salicylic acid","C7 H6 O3",138.0316,6.055,137.02432,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Salicylic acids",2517728843,1789300128,5727311994.99999,3859530718,6036581483,2332464121,3387359296,1089683310,31.4269692628711,31.4604783569224,-0.0335090940513432,0.96090983429597,0.493794199031662,"stable",0.0409390746366091
"4-Oxoproline","Com_15_neg","4-Oxoproline","C5 H7 N O3",129.04251,2.175,128.03523,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",3946199072,3897215569,3983636167,4121124852,5018566860,6156675493.00001,4756088878.99999,5601598521.00001,32.2429687335797,31.8763506408412,0.366618092738445,0.0206540407492478,0.106962536687745,"up",1.48184062059614
"D-(+)-Malic acid","Com_16_neg","D-(+)-Malic acid","C4 H6 O5",134.02145,1.536,133.01417,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",3926513881,4627134076,4994311432,3424153622,3477538917,5823283306,5260257323,5102453958.99999,32.0697471603672,32.0652374163582,0.00450974400896342,0.981879450236638,0.499190871467903,"stable",0.0160725057368771
"Uridine monophosphate (UMP)","Com_22_neg","Uridine monophosphate (UMP)","C9 H13 N2 O9 P",324.03586,1.478,323.02858,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",994759635.299999,1036997368,1024596209,836587321.1,104989570.3,751479021.5,718860111.4,633100380.8,28.8859528184191,29.9239820421647,-1.03802922374556,0.139404191823985,0.191112770332457,"stable",0.972029928396384
"D-(-)-Fructose","Com_33_neg","D-(-)-Fructose","C6 H12 O6",180.06343,1.326,225.06168,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","C-glycosyl compounds",294800997.3,314374652.2,244331228.2,231240972.6,267074335.6,269381807.2,187025116.2,193409627.9,27.7576612501027,28.0757796162418,-0.318118366139139,0.0925885782681416,0.167881315103986,"stable",1.20821784756449
"L-Threonic acid","Com_36_neg","L-Threonic acid","C4 H8 O5",136.03715,1.359,135.02987,"Full match","Full match","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",211131557,233379677.8,276381059.5,264833235.9,290689345,441196382.6,304490811.3,425473530.2,28.3317150420944,27.8312513988112,0.500463643283211,0.0377565428087012,0.124035018951907,"up",1.35748150203002
"Methylmalonic acid","Com_40_neg","Methylmalonic acid","C4 H6 O4",118.02656,2.606,117.01928,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",1491393768,1541466647,1523701993,1076199424,1115009436,1644444329,1431672956,1823645199,30.3703785674667,30.5002014069526,-0.129822839485868,0.437333203609103,0.319358067361717,"stable",0.505687127175372
"D-α-Hydroxyglutaric acid","Com_42_neg","D-α-Hydroxyglutaric acid","C5 H8 O5",148.03712,1.983,147.02984,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives",629041535.999999,646273181.3,695239040.4,934668303.700001,853530135.599999,1240163384,1204576725,1465624421,30.0582753154769,29.289694260557,0.76858105491992,0.00427565886367516,0.0696603558523839,"up",1.68774320680871
"DL-4-Hydroxyphenyllactic acid","Com_52_neg","DL-4-Hydroxyphenyllactic acid","C9 H10 O4",182.05795,5.233,181.05067,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",91092857.51,103437297.6,123409770.9,150238608.2,168717913,181693452.3,110052031.3,188825245.2,27.2271472835434,26.6479657444271,0.579181539116284,0.023941963272437,0.110173501393099,"up",1.48434282793026
"2-Hydroxycaproic acid","Com_64_neg","2-Hydroxycaproic acid","C6 H12 O3",132.07863,5.736,131.07136,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",331369933.6,243171772.7,272824400.1,232260976,315850460.9,199709203.7,243634506.3,223052427.8,27.8384228800588,28.0615551445268,-0.22313226446801,0.251045341774567,0.240670274384023,"stable",0.915607932433867
"N-Acetyl-α-D-glucosamine 1-phosphate","Com_77_neg","N-Acetyl-α-D-glucosamine 1-phosphate","C8 H16 N O9 P",301.0574,1.569,300.04879,"Full match","Full match","Full match",NA,NA,NA,NA,52034946.38,62720110.46,63398232.59,60668772.4,55419455.6699999,100723414.7,74469145.68,84059008.92,26.1278404857453,25.817780523072,0.310059962673296,0.139465744558653,0.191140115063146,"stable",0.991436137525392
"D-(-)-Mannitol","Com_101_neg","D-(-)-Mannitol","C6 H14 O6",182.07898,1.332,181.07184,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols",14618889.34,12404754.8,14015083.41,16135444.11,14428262.43,15168057.24,12744737.11,19921165.65,23.8863708343946,23.7020657497212,0.18430508467338,0.199547870008268,0.220294022316247,"stable",0.883418479348941
"Uridine 5'-diphosphogalactose","Com_126_neg","Uridine 5'-diphosphogalactose","C15 H24 N2 O17 P2",566.05541,1.753,565.04813,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",2790650479,2828894103,2970294299,2595107106,2639011523,3516183888,3072375880,3271235524,31.4811513777743,31.4145013524914,0.0666500252829252,0.494042970904288,0.338752770194063,"stable",0.451645746057267
