"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N-Acetylaspartic acid","Com_9_neg","N-Acetylaspartic acid","C6 H9 N O5",175.0479,1.89,174.04062,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",11883672812,12687151333,8366755320.99999,5662546285,12240110056,6726412822,32.85229714965,33.3309773205228,-0.478680170872785,0.257104477476221,0.454867464490575,"stable",1.13251179361857
"Salicylic acid","Com_10_neg","Salicylic acid","C7 H6 O3",138.0316,6.055,137.02432,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Salicylic acids",2951127761,2571811683,2056354052,7072415870.00001,5797745009,1474417483,31.8699662128833,31.2187328768003,0.651233336082953,0.369007016815977,0.471043321890975,"stable",0.87699892749223
"4-Oxoproline","Com_15_neg","4-Oxoproline","C5 H7 N O3",129.04251,2.175,128.03523,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",4826921677,4639970494.99999,3201624299,2987541155,3497181563,2464819701,31.4595639887405,31.9520272108897,-0.492463222149198,0.039016055643611,0.329649613255256,"down",1.54124102451954
"D-(+)-Malic acid","Com_16_neg","D-(+)-Malic acid","C4 H6 O5",134.02145,1.536,133.01417,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",4118075497,4203249197,2867878191,2989372791,3495989973,2030682025,31.3665222605096,31.7751725272961,-0.408650266786527,0.0298029579487167,0.324949272305938,"down",1.22505789315935
"Uridine monophosphate (UMP)","Com_22_neg","Uridine monophosphate (UMP)","C9 H13 N2 O9 P",324.03586,1.478,323.02858,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",1082793937,945168369.4,692736516.6,494510290.1,1733740554,915711430.4,29.7809946558282,29.7319463871862,0.0490482686420073,0.942809431443653,0.608815451698718,"stable",0.0945205908464605
"D-(-)-Fructose","Com_33_neg","D-(-)-Fructose","C6 H12 O6",180.06343,1.326,225.06168,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","C-glycosyl compounds",329058615.2,347675792.7,194434240,99739382.83,241760508.6,134284655,27.1404608377464,28.0672145978734,-0.926753760126942,0.145107640053528,0.418306996209567,"stable",1.52162593887539
"L-Threonic acid","Com_36_neg","L-Threonic acid","C4 H8 O5",136.03715,1.359,135.02987,"Full match","Full match","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",1144587975,1126903238,852415574.1,557850502,783982388.799999,404053471.2,29.0638400993393,29.9429598058925,-0.879119706553155,0.0387184907564644,0.329531110848337,"down",1.75594039592956
"Methylmalonic acid","Com_40_neg","Methylmalonic acid","C4 H6 O4",118.02656,2.606,117.01928,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",1144169128,1135561164,726926548.6,1015668053,872339969.5,415270300.9,29.4165241772705,29.8698819338335,-0.453357756563072,0.136396706523187,0.413435090135368,"stable",0.959332697558359
"D-α-Hydroxyglutaric acid","Com_42_neg","D-α-Hydroxyglutaric acid","C5 H8 O5",148.03712,1.983,147.02984,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives",438154545.999999,458469474.7,312008792.8,662028292.200001,435306704.5,254487203.6,28.6409308351628,28.5653754908142,0.0755553443486257,0.804173697536685,0.570351856703741,"stable",0.185257014682008
"DL-4-Hydroxyphenyllactic acid","Com_52_neg","DL-4-Hydroxyphenyllactic acid","C9 H10 O4",182.05795,5.233,181.05067,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",496676600,545219570.5,357703342,353749804.9,565551766.700001,189525737.5,28.3236854977071,28.7747273337885,-0.451041836081341,0.2490315090049,0.453203769874091,"stable",0.893128024253083
"2-Hydroxycaproic acid","Com_64_neg","2-Hydroxycaproic acid","C6 H12 O3",132.07863,5.736,131.07136,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",247341138.1,210907495.8,195213856.1,576275246.400001,275329397.5,108226585.9,27.9427486423844,27.6914807720116,0.251267870372796,0.716769469098093,0.541957557064708,"stable",0.3763131979964
