"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N-Acetylaspartic acid","Com_9_neg","N-Acetylaspartic acid","C6 H9 N O5",175.0479,1.89,174.04062,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",11883672812,12687151333,8366755320.99999,11334616532,9463388801.99999,9212401732.00001,5662546285,12240110056,6726412822,33.0329246522793,33.3309773205228,-0.298052668243542,0.2937111763503,0.82700866511261,"stable",0.982450849217617
"Salicylic acid","Com_10_neg","Salicylic acid","C7 H6 O3",138.0316,6.055,137.02432,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Salicylic acids",2951127761,2571811683,2056354052,4377392778.99999,2265955512,5742024814,7072415870.00001,5797745009,1474417483,31.855618023961,31.2187328768003,0.636885147160669,0.154805510851471,0.715886196424884,"stable",1.0841343982646
"4-Oxoproline","Com_15_neg","4-Oxoproline","C5 H7 N O3",129.04251,2.175,128.03523,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",4826921677,4639970494.99999,3201624299,3858308682,5012629572.00001,4368128103,2987541155,3497181563,2464819701,31.7452169815204,31.9520272108897,-0.206810229369367,0.434611633977391,0.876146034879376,"stable",0.786968339541246
"D-(+)-Malic acid","Com_16_neg","D-(+)-Malic acid","C4 H6 O5",134.02145,1.536,133.01417,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",4118075497,4203249197,2867878191,5014426299.99999,3803853732,4110891599,2989372791,3495989973,2030682025,31.6807705161252,31.7751725272961,-0.0944020111708817,0.725296994677806,0.921908012805237,"stable",0.32418734618482
"Uridine monophosphate (UMP)","Com_22_neg","Uridine monophosphate (UMP)","C9 H13 N2 O9 P",324.03586,1.478,323.02858,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",1082793937,945168369.4,692736516.6,2062911738,1121996205,1624597604,494510290.1,1733740554,915711430.4,30.1576458073434,29.7319463871862,0.425699420157194,0.280343840902919,0.820242842197952,"stable",0.86532750565093
"D-(-)-Fructose","Com_33_neg","D-(-)-Fructose","C6 H12 O6",180.06343,1.326,225.06168,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","C-glycosyl compounds",329058615.2,347675792.7,194434240,294712983.4,314315161.1,291625098.2,99739382.83,241760508.6,134284655,27.6505490266942,28.0672145978734,-0.416665571179195,0.326087115444913,0.841461306801348,"stable",0.882461240546359
"L-Threonic acid","Com_36_neg","L-Threonic acid","C4 H8 O5",136.03715,1.359,135.02987,"Full match","Full match","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",1144587975,1126903238,852415574.1,1192621297,1126323843,989661091.7,557850502,783982388.799999,404053471.2,29.5490571706874,29.9429598058925,-0.393902635205123,0.213644854798273,0.776657303565849,"stable",0.975377352741932
"Methylmalonic acid","Com_40_neg","Methylmalonic acid","C4 H6 O4",118.02656,2.606,117.01928,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",1144169128,1135561164,726926548.6,1114137289,1004582877,925437253.9,1015668053,872339969.5,415270300.9,29.6653936306763,29.8698819338335,-0.204488303157241,0.527221720823386,0.895631201639374,"stable",0.588781539404321
"D-α-Hydroxyglutaric acid","Com_42_neg","D-α-Hydroxyglutaric acid","C5 H8 O5",148.03712,1.983,147.02984,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives",438154545.999999,458469474.7,312008792.8,541742622.2,506310437.6,470702869.9,662028292.200001,435306704.5,254487203.6,28.7769188764451,28.5653754908142,0.211543385630911,0.444316439185038,0.87852264156472,"stable",0.685733691906462
"DL-4-Hydroxyphenyllactic acid","Com_52_neg","DL-4-Hydroxyphenyllactic acid","C9 H10 O4",182.05795,5.233,181.05067,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",496676600,545219570.5,357703342,546656463.499999,409518416.2,428404255.8,353749804.9,565551766.700001,189525737.5,28.5468110660191,28.7747273337885,-0.227916267769348,0.471061523582005,0.884623913117044,"stable",0.615802290713285
