"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","OCI_M2_WT_1","OCI_M2_WT_2","OCI_M2_WT_3","OCI_M2_2w_1","OCI_M2_2w_2","OCI_M2_2w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N-Acetylaspartic acid","Com_9_neg","N-Acetylaspartic acid","C6 H9 N O5",175.0479,1.89,174.04062,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",16895640325,14981547257,14393313381,18456563237,20646008307,15852089943,34.084170906505,33.8410264156033,0.243144490901727,0.157248237866463,0.388262452369728,"stable",1.27097418687855
"Salicylic acid","Com_10_neg","Salicylic acid","C7 H6 O3",138.0316,6.055,137.02432,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Salicylic acids",2262819851,2157207009,3115963513,2045485960,1170606382,1887614125,30.6227740394033,31.2063410869424,-0.583567047539127,0.120865195739365,0.357514201792815,"stable",1.29670823457071
"4-Oxoproline","Com_15_neg","4-Oxoproline","C5 H7 N O3",129.04251,2.175,128.03523,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",4812779705,3476373214,4332218764,5504622190,3244935875,4134188460,31.9661654116246,31.9572060070787,0.00895940454585542,0.931937650391427,0.654804280345879,"stable",0.0321038653198295
"D-(+)-Malic acid","Com_16_neg","D-(+)-Malic acid","C4 H6 O5",134.02145,1.536,133.01417,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",2369379239,2984703520,2352739329,2203964613,3287572938,2224886158,31.2343046810597,31.2494989373652,-0.015194256305513,0.862888731622461,0.637202959051619,"stable",0.0640573652739132
"Uridine monophosphate (UMP)","Com_22_neg","Uridine monophosphate (UMP)","C9 H13 N2 O9 P",324.03586,1.478,323.02858,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",1032876188,865204208.999999,1165818044,907230790.300001,806406365.399999,644766857.3,29.5360094986798,29.9170603713912,-0.381050872711437,0.250524820981546,0.434481682071328,"stable",1.31678902161296
"D-(-)-Fructose","Com_33_neg","D-(-)-Fructose","C6 H12 O6",180.06343,1.326,225.06168,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","C-glycosyl compounds",184553390.4,117388560.5,161311513.6,139546028.7,158866079.3,170689004.5,27.2153988624083,27.1771512526448,0.0382476097635163,0.889564627805894,0.644211599644755,"stable",0.168006237480365
"L-Threonic acid","Com_36_neg","L-Threonic acid","C4 H8 O5",136.03715,1.359,135.02987,"Full match","Full match","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",1008328196,937292684.999999,697462699.6,894310981.399999,1129351923,984303270.600001,29.894525657781,29.6969277834541,0.197597874326821,0.420901037986682,0.500171350937451,"stable",0.861423384813396
"Methylmalonic acid","Com_40_neg","Methylmalonic acid","C4 H6 O4",118.02656,2.606,117.01928,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",890099420.4,1261052372,844427030.299999,959370972.6,1308568607,908495693.100001,29.9605868005939,29.8715899377713,0.0889968628226612,0.0378872540277916,0.268034591649703,"stable",0.333720979163087
"D-α-Hydroxyglutaric acid","Com_42_neg","D-α-Hydroxyglutaric acid","C5 H8 O5",148.03712,1.983,147.02984,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives",697167044.8,563003061.100001,519171972.9,485417860.7,564079637.600001,440901975.3,28.8806194230826,29.132377973664,-0.251758550581414,0.239027614345197,0.430327800294244,"stable",1.13673896167142
"DL-4-Hydroxyphenyllactic acid","Com_52_neg","DL-4-Hydroxyphenyllactic acid","C9 H10 O4",182.05795,5.233,181.05067,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",202853833.7,238261170.3,167082768,223839545.4,239756965.1,197773714.3,27.7113875450717,27.5799405492541,0.131446995817541,0.192229601358067,0.40955657414067,"stable",0.67634265740419
"2-Hydroxycaproic acid","Com_64_neg","2-Hydroxycaproic acid","C6 H12 O3",132.07863,5.736,131.07136,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",211412557.4,183033108,192945696.3,193308464.7,140466242.2,198338025.8,27.3851212814503,27.542211616075,-0.157090334624701,0.328321932049756,0.468197859413693,"stable",0.777405550232627
"N-Acetyl-α-D-glucosamine 1-phosphate","Com_77_neg","N-Acetyl-α-D-glucosamine 1-phosphate","C8 H16 N O9 P",301.0574,1.569,300.04879,"Full match","Full match","Full match",NA,NA,NA,NA,79408461.23,64956875.2,24008911.52,67599983.58,56756804.72,64627641.4899999,25.9048192010117,25.5709449875338,0.333874213477852,0.604014889841362,0.553663679028471,"stable",0.551757389027648
"D-(-)-Mannitol","Com_101_neg","D-(-)-Mannitol","C6 H14 O6",182.07898,1.332,181.07184,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols",17316716.61,19455844.81,13773640.52,22003707.67,23812559.99,16563679.83,24.2926608607979,23.991589652581,0.301071208216971,0.00600299066074534,0.223576378846696,"up",1.0657107178289
"Uridine 5'-diphosphogalactose","Com_126_neg","Uridine 5'-diphosphogalactose","C15 H24 N2 O17 P2",566.05541,1.753,565.04813,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",6097579035,5607685817,6304047898.99998,5037583583,4887024144.99999,4993432662.99999,32.2112595272277,32.4813263776475,-0.27006685041983,0.0211085732325967,0.260288696685239,"down",1.74048340000313
"Suberic acid","Com_136_neg","Suberic acid","C8 H14 O4",174.08918,5.922,173.0819,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",23193989.08,26032699.43,16696024.42,33475951.48,28151019.59,28880806.16,24.8423044143479,24.3646901644986,0.477614249849303,0.136606675630141,0.372194165905664,"stable",1.40845728664201
"Υ-Aminobutyric acid (GABA)","Com_170_neg","Υ-Aminobutyric acid (GABA)","C4 H9 N O2",103.06328,1.355,102.05606,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Gamma amino acids and derivatives",353420627.5,290646013.6,317326941.7,332090726,337678638.7,353116964.2,28.3445495873264,28.2509645527851,0.093585034541352,0.422048719532644,0.500520290246144,"stable",0.893066734520015
"Threonine","Com_177_neg","Threonine","C4 H9 N O3",119.05827,1.314,118.051,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","D-alpha-amino acids",107219084.9,102458349.7,104209616.4,110056708.8,133862239.3,130446393.8,26.8895758278038,26.6404539928989,0.249121834904948,0.145769069179973,0.379718935606109,"stable",1.50761843280357
"N-Acetylalanine","Com_183_neg","N-Acetylalanine","C5 H9 N O3",131.05817,2.71,130.0509,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-L-alpha-amino acids",286810734,298221166.9,212166729.1,301842821.4,367518286.3,270360114.6,28.2109233778304,27.9693181311293,0.241605246701109,0.104904531510338,0.340513471311391,"stable",0.956421305042268
"D(+)-Phenyllactic acid","Com_205_neg","D(+)-Phenyllactic acid","C9 H10 O3",166.06292,5.735,165.05564,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",122034292.1,112435097,123617369,124999904.9,97493326.55,126287511.5,26.7827628759596,26.8295115993005,-0.0467487233408299,0.616030384395909,0.55683093760054,"stable",0.331559924911108
"D-(-)-Ribose","Com_265_neg","D-(-)-Ribose","C5 H10 O5",150.05271,1.447,149.04542,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",92007503.2799999,121685905.3,92006739.2699999,96323270.18,114992489.4,81539634.0999999,26.5264478597457,26.58969040592,-0.0632425461742194,0.461609079949284,0.511741144330895,"stable",0.296356682309964
"α-D-Glucose-1,6-bisphosphate","Com_269_neg","α-D-Glucose-1,6-bisphosphate","C6 H14 O12 P2",339.99609,1.184,338.9888,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",8560145.68299999,10067786.87,9207453.925,6651054.105,9152610.64500001,5715974.06399999,22.7458237981647,23.1422726687084,-0.396448870543711,0.131083928893772,0.367315153528487,"stable",1.27570416870108
"4-Nitrophenol","Com_309_neg","4-Nitrophenol","C6 H5 N O3",139.0269,0.412,138.01962,"Full match","Full match","Full match","Benzenoids","Phenols","Nitrophenols","Nitrophenols",9529135.95,7923406.51600001,11302163.1,4297170.893,8310236.95799999,9886508.319,22.7528145200321,23.1772329812095,-0.424418461177392,0.370132766559236,0.483324100492544,"stable",0.882593473764811
"(2R)-2,3-Dihydroxypropanoic acid","Com_322_neg","(2R)-2,3-Dihydroxypropanoic acid","C3 H6 O4",106.02659,1.439,105.01931,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",21526057.39,27315140.56,25471133.34,24345883.77,30855041.51,29047160.79,24.7360237516274,24.5550460333417,0.18097771828576,0.000566460388714367,0.146066183875341,"stable",0.988990901864887
"Ethylmalonic acid","Com_345_neg","Ethylmalonic acid","C5 H8 O4",132.04223,4.676,131.03495,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Branched fatty acids",66252829.71,63063923.1899999,62682495.5399999,65862804.69,67710078.0399999,68276936.61,26.0035742845426,25.9311165359088,0.0724577486338021,0.218697068581373,0.422152263414018,"stable",1.44041192468282
"Pimelic acid","Com_363_neg","Pimelic acid","C7 H12 O4",160.07359,5.496,159.06631,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",67030705.81,66258693.8900001,74939463.5599999,63726883.1400001,57203596.27,70499396.76,25.922036285118,26.0463825109896,-0.124346225871609,0.10591782121188,0.34129984516421,"stable",0.957767189864955
"Guanosine monophosphate (GMP)","Com_367_neg","Guanosine monophosphate (GMP)","C10 H14 N5 O8 P",363.05809,1.845,362.05081,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",47653230.7800001,48514138.3699999,52894842.46,56890330.1199999,78293319.8000001,36182923.42,25.6976238798015,25.5648654433366,0.132758436464961,0.749439369624501,0.604029740295363,"stable",0.371608488493184
"Terephthalic acid","Com_368_neg","Terephthalic acid","C8 H6 O4",166.02661,5.566,165.01934,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",44945284.6300001,56820128.1400001,59467304.76,43939719.76,51535327.07,55569516.6000001,25.5786236930797,25.66905284432,-0.0904291512403503,0.102666799422261,0.33873532725862,"stable",0.506761263132724
"Hippuric acid","Com_423_neg","Hippuric acid","C9 H9 N O3",179.0583,5.42,178.05102,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hippuric acids",33364500.66,44401670.12,29375963.52,29606607.33,44146617.47,28512591.1,24.9934370750573,25.0680180067468,-0.0745809316894785,0.273790474897879,0.444692937449336,"stable",0.257061272571879
"N-Acetyl-D-alloisoleucine","Com_474_neg","N-Acetyl-D-alloisoleucine","C8 H15 N O3",173.10529,5.7,172.09801,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Isoleucine and derivatives",66340418.0999999,66582829.62,61909230.2300001,60086029.5799999,53282465.0999999,66485673.65,25.8314079725367,25.9518942671173,-0.120486294580591,0.43065006233865,0.503091148314048,"stable",0.973382237483751
"O-Phosphorylethanolamine","Com_486_neg","O-Phosphorylethanolamine","C2 H8 N O4 P",141.01919,1.248,140.01191,"Full match","Full match","Full match","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","Phosphoethanolamines",18213617.14,10002012.14,14429570.33,33084179.69,20794544.2,42301026.11,24.8745097412793,23.7182753528215,1.15623438845778,0.030182252023627,0.26549713682453,"up",1.54339971700971
"Fumaric acid","Com_511_neg","Fumaric acid","C4 H4 O4",116.01091,1.537,115.00364,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",130628410.1,170550935.5,123524598.2,118955579.1,170425137,122237958.9,27.0118425719179,27.0622480028114,-0.0504054308934947,0.357543813020501,0.4790450308385,"stable",0.212164958548142
"Thymidine 5'-monophosphate","Com_608_neg","Thymidine 5'-monophosphate","C10 H15 N2 O8 P",322.05634,2.317,321.04907,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",61970496.6000001,64943560.5299999,63084806.3299999,97039515.72,118291535.3,95386478.3499999,26.6190406828697,25.9161835284927,0.702857154376968,0.0134720635963137,0.251004210759547,"up",1.79128483567412
"3-Methylglutaric acid","Com_616_neg","3-Methylglutaric acid","C6 H10 O4",146.05799,5.476,145.05071,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",18335452.9,20310049.61,19258666.76,20176378.1,18372170.93,21297063.16,24.2471112729358,24.2009424967003,0.0461687762354721,0.676357273031292,0.579246350466242,"stable",0.54556544658011
"2-Anisic acid","Com_642_neg","2-Anisic acid","C8 H8 O3",152.04738,5.843,151.0401,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","O-methoxybenzoic acids and derivatives",19972868.02,16756667.26,17286046.2,15093036.75,13254890.35,19692453.02,23.9128468901657,24.0976248889442,-0.184777998778429,0.428023705259207,0.502314339277032,"stable",0.831915964320567
"N-Acetyl-L-phenylalanine","Com_648_neg","N-Acetyl-L-phenylalanine","C11 H13 N O3",207.08958,5.72,206.0823,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",14672297.78,17660282.38,16854559.35,17112382.37,13871031.2,15826197.55,23.8899734441384,23.9624107126242,-0.0724372684857677,0.703380588309319,0.588763725561748,"stable",0.541110887754479
"Jasmonic acid","Com_681_neg","Jasmonic acid","C12 H18 O3",210.12561,6.285,209.11834,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Jasmonic acids",18562196.56,16985330.85,20644447.3,14771349.51,12398212.66,16918538.48,23.7973429100087,24.1543001831876,-0.356957273178889,0.0191492550131215,0.258562324568049,"down",1.4148366353392
"Phosphocreatine","Com_700_neg","Phosphocreatine","C4 H10 N3 O5 P",211.03568,1.392,210.0284,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",231495742.7,118073818.1,117964123.4,89334205.59,97173422.82,182226634.1,26.7959754645259,27.138432397019,-0.342456932493057,0.613862559715361,0.556266027905981,"stable",0.652273698530842
"Glucose 1-phosphate","Com_916_neg","Glucose 1-phosphate","C6 H13 O9 P",260.02968,1.216,259.02241,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",8339244.727,7674043.997,6518194.244,6650280.577,5861767.53199999,7998646.75400001,22.6930708703315,22.8330272721665,-0.139956401835022,0.587198621156068,0.549078045588932,"stable",0.720998412692729
"3-Hydroxybenzoic acid","Com_923_neg","3-Hydroxybenzoic acid","C7 H6 O3",138.03171,5.385,137.02443,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",35268433.95,31878836.43,32466002.27,31639077.17,35527815.65,41270062.1,25.0987473710097,24.9834654096894,0.115281961320306,0.514031685955293,0.526772178443792,"stable",0.808991241177931
"2'-Deoxyuridine-5-monophosphate","Com_1003_neg","2'-Deoxyuridine-5-monophosphate","C9 H13 N2 O8 P",308.04069,1.676,307.03342,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",12589408.89,14351756.9,12626394.83,17163066.18,19203900.31,14528305.58,24.0066877035333,23.6501235556611,0.356564147872273,0.0440964338440169,0.269455069577001,"up",1.49653011722123
"D-Sedoheptulose 7-phosphate","Com_1008_neg","D-Sedoheptulose 7-phosphate","C7 H15 O10 P",290.0405,1.217,289.03323,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Hexose phosphates",3150844.481,2054115.735,2286683.124,3308413.512,2472724.836,3067248.101,21.4812972820645,21.2274060614129,0.253891220651568,0.130980764809882,0.367221369668492,"stable",0.9190925373831
"Taurochenodeoxycholic acid","Com_1086_neg","Taurochenodeoxycholic acid","C26 H45 N O6 S",499.29739,7.289,498.29012,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Taurinated bile acids and derivatives",15216159.36,18591778.77,13892923.21,13863216.28,20114135.22,15473293.19,23.9565806624332,23.9117030830122,0.0448775794209837,0.668854408325195,0.576525267653828,"stable",0.205908415045589
"Uridine 5'-diphosphoglucuronic acid","Com_1164_neg","Uridine 5'-diphosphoglucuronic acid","C15 H22 N2 O18 P2",580.03517,4.319,579.02789,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",179665340.7,174732093.7,202299139.5,170299123.4,167122397.8,187081589.1,27.3796393238042,27.46440706776,-0.0847677439557053,0.0281127466330218,0.264590433375338,"stable",0.855687541308607
"Deoxycholic acid","Com_1566_neg","Deoxycholic acid","C24 H40 O4",392.29282,8.265,391.28555,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",3951172.754,17260885.13,19976563.92,12266798.07,2604762.263,3407489.016,22.1870844109626,23.4022192410975,-1.21513483013486,0.483817913149289,0.517421755429774,"stable",0.956629159977547
"3-Hydroxydecanoic acid","Com_2064_neg","3-Hydroxydecanoic acid","C10 H20 O3",188.14134,7.101,187.13406,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",16148796.73,14140657.19,16188292.49,14710573.24,10666607.9,14894867.73,23.6617534090974,23.8822388855016,-0.220485476404225,0.141731519598099,0.376486075031838,"stable",1.01312572446549
"DL-Malic acid","Com_2348_neg","DL-Malic acid","C4 H6 O5",134.02145,2.397,133.01418,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",42587002.42,44271036.07,33297245.72,34184680.3,50940693.04,30760591.3,25.1679139163661,25.244223053779,-0.0763091374128919,0.663835625924079,0.574685362447617,"stable",0.274595001022592
"Valeric acid","Com_2501_neg","Valeric acid","C5 H10 O2",102.06808,0.36,101.06081,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Straight chain fatty acids",5275226.73,5919108.73499999,5277855.25,4888488.95399999,4280916.867,5833399.893,22.2421170326529,22.386423517971,-0.144306485318097,0.501533125433367,0.52300057434441,"stable",0.851226047092806
"D-(-)-Quinic acid","Com_3047_neg","D-(-)-Quinic acid","C7 H12 O6",192.0634,4.992,191.05617,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Quinic acids and derivatives",1855963.969,1423912.134,1909753.63,5541024.837,7129347.82500001,2798972.564,22.1945086652448,20.7100403561568,1.48446830908803,0.101819644523981,0.338046790913409,"stable",1.61818925096737
"3-Coumaric acid","Com_3096_neg","3-Coumaric acid","C9 H8 O3",164.04735,6.588,163.04007,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Hydroxycinnamic acids",9214292.42400001,6953434.467,8933541.17699999,8845074.181,6752385.32,9587104.76199999,22.9853574601439,22.9851789958488,0.000178464295071734,0.99752899783778,0.670012175870705,"stable",0.000832729771848391
"Oleoyl-L-α-lysophosphatidic acid","Com_3344_neg","Oleoyl-L-α-lysophosphatidic acid","C21 H41 O7 P",436.25896,10.27,435.25169,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1-acylglycerol-3-phosphates",3265463.41,2572740.627,2621456.299,5001850.865,2059450.104,3206821.637,21.6135236791856,21.4185559880646,0.194967691120912,0.551159873817874,0.53860119581291,"stable",0.45688583420153
"Rutin","Com_3410_neg","Rutin","C27 H30 O16",610.15474,5.536,609.14747,"Full match","Full match","No results","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid-3-O-glycosides",155472.2726,419762.5951,251929.5628,268914.3373,144057.5059,328156.4959,17.8323656407329,17.9560575906802,-0.12369194994735,0.879307039842626,0.641548875156256,"stable",0.209499661917064
"Xanthosine","Com_3481_neg","Xanthosine","C10 H12 N4 O6",284.07579,4.769,283.06852,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Not available","Purine nucleosides",3494019.279,4495500.994,4221328.433,3358404.476,5188194.067,3204335.976,21.8659131902354,21.9485907533987,-0.0826775631632657,0.683062724112101,0.581648810371941,"stable",0.308011534302466
"δ-Ribono-1,4-lactone","Com_3978_neg","δ-Ribono-1,4-lactone","C5 H8 O5",148.03711,2.492,147.02983,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentoses",16116544.29,14247599.38,13181670.51,13650222.13,14999533.88,11220790.36,23.6535021294956,23.786094832363,-0.132592702867456,0.328340749517384,0.468205293609163,"stable",0.756025897276575
"2-Hydroxyphenylalanine","Com_4366_neg","2-Hydroxyphenylalanine","C9 H11 N O3",181.07394,4.784,180.06667,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Phenylalanine and derivatives",9873727.18699999,10970777.68,9802478.57500001,10335555.91,9565084.746,8987470.768,23.1966475715723,23.2823469889989,-0.0856994174265964,0.389744388749439,0.490150466017686,"stable",0.893664032000537
"Folic acid","Com_4452_neg","Folic acid","C19 H19 N7 O6",441.14033,5.17,440.13306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",2076169.374,2755877.338,1496768.892,1771984.352,3198544.678,1553136.772,20.9775573629075,20.9643310025533,0.0132263603542668,0.928010874562989,0.653849230448002,"stable",0.0301311186463235
"N-Acetyl-DL-tryptophan","Com_4625_neg","N-Acetyl-DL-tryptophan","C13 H14 N2 O3",246.10048,5.659,245.0932,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",1715955.333,1927314.132,2420098.625,2031446.878,1347630.949,2100122.389,20.7727040731131,20.9317917614754,-0.159087688362327,0.54551062135746,0.53687268913393,"stable",0.560922333601234
