"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","OCI_M2_WT_1","OCI_M2_WT_2","OCI_M2_WT_3","OCI_M2_2w_1","OCI_M2_2w_2","OCI_M2_2w_3","OCI_M2_6w_1","OCI_M2_6w_2","OCI_M2_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N-Acetylaspartic acid","Com_9_neg","N-Acetylaspartic acid","C6 H9 N O5",175.0479,1.89,174.04062,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",16895640325,14981547257,14393313381,18456563237,20646008307,15852089943,13810963506,13812324522,12702093491,33.8645319945064,33.8410264156033,0.0235055789031264,0.862998125148349,0.581703216951572,"stable",0.113320231334705
"Salicylic acid","Com_10_neg","Salicylic acid","C7 H6 O3",138.0316,6.055,137.02432,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Salicylic acids",2262819851,2157207009,3115963513,2045485960,1170606382,1887614125,1916008162,2179302290,1338953802,30.6739094828348,31.2063410869424,-0.532431604107643,0.061222530174026,0.200021310772706,"stable",1.3795800975368
"4-Oxoproline","Com_15_neg","4-Oxoproline","C5 H7 N O3",129.04251,2.175,128.03523,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",4812779705,3476373214,4332218764,5504622190,3244935875,4134188460,3620205869,3709878429,3151924305,31.8323718895121,31.9572060070787,-0.124834117566696,0.525370024861131,0.462488111487216,"stable",0.502726895365671
"D-(+)-Malic acid","Com_16_neg","D-(+)-Malic acid","C4 H6 O5",134.02145,1.536,133.01417,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",2369379239,2984703520,2352739329,2203964613,3287572938,2224886158,2195901598,2894944777,3195955769,31.289928213574,31.2494989373652,0.0404292762087692,0.810004927607203,0.566208162223895,"stable",0.179904754600679
"Uridine monophosphate (UMP)","Com_22_neg","Uridine monophosphate (UMP)","C9 H13 N2 O9 P",324.03586,1.478,323.02858,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",1032876188,865204208.999999,1165818044,907230790.300001,806406365.399999,644766857.3,565578113,696479171.3,610069007.399999,29.3738469523657,29.9170603713912,-0.543213419025559,0.0217559083536599,0.135871164749744,"down",1.65063138209916
"D-(-)-Fructose","Com_33_neg","D-(-)-Fructose","C6 H12 O6",180.06343,1.326,225.06168,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","C-glycosyl compounds",184553390.4,117388560.5,161311513.6,139546028.7,158866079.3,170689004.5,203924918.6,217768227.5,150381217.4,27.351987800993,27.1771512526448,0.174836548348242,0.480181335368956,0.448180602224038,"stable",0.688252221740947
"L-Threonic acid","Com_36_neg","L-Threonic acid","C4 H8 O5",136.03715,1.359,135.02987,"Full match","Full match","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",1008328196,937292684.999999,697462699.6,894310981.399999,1129351923,984303270.600001,720440343.600001,829344519.600001,972959072.699999,29.7655134802581,29.6969277834541,0.0685856968039786,0.735250771053267,0.542290790032987,"stable",0.323986428747104
"Methylmalonic acid","Com_40_neg","Methylmalonic acid","C4 H6 O4",118.02656,2.606,117.01928,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",890099420.4,1261052372,844427030.299999,959370972.6,1308568607,908495693.100001,921323162.7,962747101.2,1070259801,29.9164646631885,29.8715899377713,0.0448747254172552,0.836739084398106,0.574166003740582,"stable",0.217167417078755
"D-α-Hydroxyglutaric acid","Com_42_neg","D-α-Hydroxyglutaric acid","C5 H8 O5",148.03712,1.983,147.02984,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives",697167044.8,563003061.100001,519171972.9,485417860.7,564079637.600001,440901975.3,831243235.099999,1243946238,1475157652,29.4905087852162,29.132377973664,0.358130811552179,0.307865539219635,0.378926075435705,"stable",0.63130926647907
"DL-4-Hydroxyphenyllactic acid","Com_52_neg","DL-4-Hydroxyphenyllactic acid","C9 H10 O4",182.05795,5.233,181.05067,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",202853833.7,238261170.3,167082768,223839545.4,239756965.1,197773714.3,190575147.9,300001990.9,380481154.1,27.8839323299054,27.5799405492541,0.303991780651316,0.207673874398571,0.322642584789018,"stable",0.908118263832755
