"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_3","MV4_11_6w_1","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N-Acetylaspartic acid","Com_9_neg","N-Acetylaspartic acid","C6 H9 N O5",175.0479,1.89,174.04062,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",7283368047.00002,8053794041,9056428664,7564047040.99999,7802512896.00001,5662546285,32.6922022238984,32.9150917123519,-0.22288948845344,0.27991060333948,0.424982834310017,"stable",0.956545951292492
"Salicylic acid","Com_10_neg","Salicylic acid","C7 H6 O3",138.0316,6.055,137.02432,"Full match","Full match","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Salicylic acids",2517728843,1789300128,5727311994.99999,2332464121,1089683310,7072415870.00001,31.2866751575958,31.4604783569224,-0.173803199326649,0.86214837360338,0.626636929410342,"stable",0.164637983749471
"4-Oxoproline","Com_15_neg","4-Oxoproline","C5 H7 N O3",129.04251,2.175,128.03523,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",3946199072,3897215569,3983636167,6156675493.00001,5601598521.00001,2987541155,32.1263357546074,31.8763506408412,0.249985113766162,0.524932826131356,0.530806247856669,"stable",0.629857421620936
"D-(+)-Malic acid","Com_16_neg","D-(+)-Malic acid","C4 H6 O5",134.02145,1.536,133.01417,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",3926513881,4627134076,4994311432,5823283306,5102453958.99999,2989372791,32.0549751499773,32.0652374163582,-0.0102622663808631,0.976178833883065,0.6552131957867,"stable",0.0291040549272948
"Uridine monophosphate (UMP)","Com_22_neg","Uridine monophosphate (UMP)","C9 H13 N2 O9 P",324.03586,1.478,323.02858,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",994759635.299999,1036997368,1024596209,751479021.5,633100380.8,494510290.1,29.201480637499,29.9239820421647,-0.72250140466565,0.0527380087140603,0.264923629928894,"stable",1.58782443765335
"D-(-)-Fructose","Com_33_neg","D-(-)-Fructose","C6 H12 O6",180.06343,1.326,225.06168,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","C-glycosyl compounds",294800997.3,314374652.2,244331228.2,269381807.2,193409627.9,99739382.83,27.3679404977228,28.0757796162418,-0.707839118519011,0.230707469168295,0.396563675464363,"stable",1.1144452027868
"L-Threonic acid","Com_36_neg","L-Threonic acid","C4 H8 O5",136.03715,1.359,135.02987,"Full match","Full match","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",211131557,233379677.8,276381059.5,441196382.6,425473530.2,557850502,28.8122143891292,27.8312513988112,0.980962990318037,0.0042649720800389,0.204280293959364,"up",1.67233455676031
"Methylmalonic acid","Com_40_neg","Methylmalonic acid","C4 H6 O4",118.02656,2.606,117.01928,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",1491393768,1541466647,1523701993,1644444329,1823645199,1015668053,30.4329709234675,30.5002014069526,-0.0672304834850621,0.820390409123028,0.614950277533556,"stable",0.226026163188892
"D-α-Hydroxyglutaric acid","Com_42_neg","D-α-Hydroxyglutaric acid","C5 H8 O5",148.03712,1.983,147.02984,"Full match","Full match","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives","Short-chain hydroxy acids and derivatives",629041535.999999,646273181.3,695239040.4,1240163384,1465624421,662028292.200001,29.9863563290159,29.289694260557,0.696662068458959,0.182330645310461,0.360206081349061,"stable",1.24312210141016
"DL-4-Hydroxyphenyllactic acid","Com_52_neg","DL-4-Hydroxyphenyllactic acid","C9 H10 O4",182.05795,5.233,181.05067,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",91092857.51,103437297.6,123409770.9,181693452.3,188825245.2,353749804.9,27.7758539066248,26.6479657444271,1.12788816219771,0.0528819742707742,0.265042438282219,"stable",1.51702255465968
