"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_2w_2","MOLM13_2w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"D-(+)-Proline","Com_6_pos","D-(+)-Proline","C5 H9 N O2",115.06348,1.451,116.07075,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",7268721635.00002,7136261759.99999,7503475019.00001,7174318451.00001,6976363115.99999,32.7200113130426,32.7654958821663,-0.0454845691237011,0.225738236526637,0.26821313664869,"stable",0.998743110270387
"L-Norleucine","Com_9_pos","L-Norleucine","C6 H13 N O2",131.09483,3.576,132.1021,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",4132087348,4129698733,4204762773,4934592471.99999,4977867791,32.2065822825006,31.9523300867989,0.254252195701699,0.000160749770570886,0.0226869422019698,"stable",1.54490831911793
"Acetyl-L-carnitine","Com_20_pos","Acetyl-L-carnitine","C9 H17 N O4",203.11604,1.879,204.12332,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",4752847654,4879227063.99999,5658371250.00001,3709323539,3682316890,31.7832378020628,32.2426300600773,-0.45939225801456,0.0273996795760747,0.134137541210652,"down",1.44821812008709
"DL-Carnitine","Com_22_pos","DL-Carnitine","C7 H15 N O3",161.10547,1.373,162.11274,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Carnitines",4884576155.00001,5115310451.00001,4836793806.00001,3622347296,3569495740,31.7436754304255,32.20305492701,-0.459379496584525,0.000944240119969828,0.0487652852155649,"down",1.53810124385123
"Choline","Com_31_pos","Choline","C5 H13 N O",103.0999,1.345,104.10718,"Full match","Full match","No results","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Cholines",698461781.8,645812189.5,571877718.6,600395467.9,506459971.2,29.0386054265055,29.2457589408019,-0.207153514296376,0.301625244317658,0.299162155860909,"stable",0.999371373436278
"Betaine","Com_33_pos","Betaine","C5 H11 N O2",117.07919,1.364,118.08646,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",1449663351,1501631231,1407329248,1969360510,2239752609,30.967886165538,30.4357556403746,0.532130525163407,0.0885382197593053,0.191607652576507,"stable",1.50296882092712
"Valine","Com_34_pos","Valine","C5 H11 N O2",117.07911,1.811,118.08639,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Valine and derivatives",1002958977,1013656312,1091593104,1202413156,1420514537,30.2835260015096,29.94744164137,0.336084360139566,0.192631340616132,0.25415418221225,"stable",1.37074602043253
"Propionylcarnitine","Com_51_pos","Propionylcarnitine","C10 H19 N O4",217.13177,3.625,218.13904,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",2402508148,2540891903,2897226994,2716479635,2473565539,31.2715180323403,31.2788692027835,-0.00735117044321854,0.948598290558224,0.494477548845264,"stable",0.0571839560082822
"N-Benzylformamide","Com_55_pos","N-Benzylformamide","C8 H9 N O",135.06867,2.666,136.07596,"Full match","Full match","No results","Benzenoids","Benzene and substituted derivatives","Not available","Benzene and substituted derivatives",592132042.600001,621049156.599999,710282700.700001,840305997.4,885621081.2,29.6842269316774,29.2517646716116,0.432462260065865,0.0194323794173252,0.12158911955186,"up",1.42821660275181
"L-Threonine","Com_103_pos","L-Threonine","C4 H9 N O3",119.05852,1.338,120.06578,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",82751611.71,86279543.06,89523737.6100001,86092044.7200001,89754376.94,26.3894277778309,26.360188736462,0.0292390413689354,0.560742547127095,0.37721560527192,"stable",0.515390230248532
"Hexanoylcarnitine","Com_166_pos","Hexanoylcarnitine","C13 H25 N O4",259.17879,5.594,260.18607,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",44536221.13,46974684.59,43443799.9600001,31829928.37,34565374.12,24.983352389786,25.4221676392819,-0.438815249495889,0.0370921082182158,0.148649783017799,"down",1.50600229616218
"N8-Acetylspermidine","Com_214_pos","N8-Acetylspermidine","C9 H21 N3 O",187.16893,1.316,188.17621,"Full match","Full match","No results","Organic acids and derivatives","Carboximidic acids and derivatives","Carboximidic acids","Carboximidic acids",15476612.97,14321881.46,15507131.79,14208948,13868642.93,23.7428098486751,23.8472442226142,-0.1044343739391,0.0963312907390868,0.196831024246753,"stable",1.18854167184416
