"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"D-(+)-Proline","Com_6_pos","D-(+)-Proline","C5 H9 N O2",115.06348,1.451,116.07075,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",7268721635.00002,7136261759.99999,7503475019.00001,10444164529,8089042353,9098569493,33.0927641331532,32.7654958821663,0.327268250986954,0.0846216289342187,0.209509395909541,"stable",1.35853620745066
"L-Norleucine","Com_9_pos","L-Norleucine","C6 H13 N O2",131.09483,3.576,132.1021,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",4132087348,4129698733,4204762773,8392090377.99998,5310898610.00001,6883538789.00001,32.6510650671309,31.9523300867989,0.698734980331988,0.0668926217388774,0.198066703713504,"stable",1.43018647033585
"Acetyl-L-carnitine","Com_20_pos","Acetyl-L-carnitine","C9 H17 N O4",203.11604,1.879,204.12332,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",4752847654,4879227063.99999,5658371250.00001,4794714861.00001,2832773923,4673153952,31.8933718725755,32.2426300600773,-0.349258187501871,0.272627281269206,0.32290948277109,"stable",0.910954849217106
"DL-Carnitine","Com_22_pos","DL-Carnitine","C7 H15 N O3",161.10547,1.373,162.11274,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Carnitines",4884576155.00001,5115310451.00001,4836793806.00001,3269527524,2215728072,3392197197,31.4370472019802,32.20305492701,-0.766007725029816,0.0743258299867051,0.20328887700225,"stable",1.44826061387625
"Choline","Com_31_pos","Choline","C5 H13 N O",103.0999,1.345,104.10718,"Full match","Full match","No results","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Cholines",698461781.8,645812189.5,571877718.6,647530671.3,723241707.699999,740972602.600001,29.3883736280962,29.2457589408019,0.142614687294326,0.41497794344125,0.384362035846821,"stable",0.927640979097934
"Betaine","Com_33_pos","Betaine","C5 H11 N O2",117.07919,1.364,118.08646,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",1449663351,1501631231,1407329248,2106246528,1760749100,1833389423,30.8191451569835,30.4357556403746,0.383389516608982,0.0501933524049547,0.189322606630622,"stable",1.49685370673309
"Valine","Com_34_pos","Valine","C5 H11 N O2",117.07911,1.811,118.08639,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Valine and derivatives",1002958977,1013656312,1091593104,1530300697,1407895474,1335979270,30.4057705253569,29.94744164137,0.458328883986908,0.0381324782630463,0.187835196170713,"up",1.56173748245586
"Propionylcarnitine","Com_51_pos","Propionylcarnitine","C10 H19 N O4",217.13177,3.625,218.13904,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",2402508148,2540891903,2897226994,1763664026,3116051425,2146813903,31.0841834993201,31.2788692027835,-0.19468570346341,0.509480898882763,0.412231430682726,"stable",0.584015410624706
"N-Benzylformamide","Com_55_pos","N-Benzylformamide","C8 H9 N O",135.06867,2.666,136.07596,"Full match","Full match","No results","Benzenoids","Benzene and substituted derivatives","Not available","Benzene and substituted derivatives",592132042.600001,621049156.599999,710282700.700001,1471580178,912560580.299999,1205536406,30.1290307235245,29.2517646716116,0.87726605191294,0.0604983931675211,0.193110189430439,"stable",1.46440253300036
"L-Threonine","Com_103_pos","L-Threonine","C4 H9 N O3",119.05852,1.338,120.06578,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",82751611.71,86279543.06,89523737.6100001,195106607.3,105960617.9,136309959.5,27.0736520171614,26.360188736462,0.713463280699369,0.123323292367262,0.231383361024191,"stable",1.32187500894675
"Hexanoylcarnitine","Com_166_pos","Hexanoylcarnitine","C13 H25 N O4",259.17879,5.594,260.18607,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",44536221.13,46974684.59,43443799.9600001,33968034.66,16803481.1,46270280.69,24.8278379107723,25.4221676392819,-0.594329728509642,0.330003867143882,0.35138444620569,"stable",0.921685331208557
"N8-Acetylspermidine","Com_214_pos","N8-Acetylspermidine","C9 H21 N3 O",187.16893,1.316,188.17621,"Full match","Full match","No results","Organic acids and derivatives","Carboximidic acids and derivatives","Carboximidic acids","Carboximidic acids",15476612.97,14321881.46,15507131.79,14631111.36,16258405.82,17551089.01,23.9407585684669,23.8472442226142,0.093514345852725,0.396172406574149,0.377825291627611,"stable",0.786169945825359
"1-Stearoylglycerol","Com_229_pos","1-Stearoylglycerol","C21 H42 O4",358.30868,10.713,359.31586,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerolipids","Monoradylglycerols","1-monoacylglycerols",3385591.177,7966049.42799999,2526622.35,1931222.375,4680359.449,6498431.754,21.8903103118607,21.9617293184723,-0.0714190066116025,0.929765445465019,0.53685038514945,"stable",0.0806196835054099
"2-Amino-1,3-octadecanediol","Com_259_pos","2-Amino-1,3-octadecanediol","C18 H39 N O2",301.29849,7.501,302.30577,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Amines","1,2-aminoalcohols",40905416.14,51235880.88,26476565.12,24947010.12,21587270.48,53085146.29,24.8659486632346,25.184884111486,-0.318935448251427,0.684778874623455,0.461455053835664,"stable",0.504591576415099
