"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_2w_2","MOLM13_2w_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"D-(+)-Proline","Com_6_pos","D-(+)-Proline","C5 H9 N O2",115.06348,1.451,116.07075,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",7268721635.00002,7136261759.99999,7503475019.00001,7174318451.00001,6976363115.99999,10444164529,8089042353,9098569493,32.943663005109,32.7654958821663,0.178167122942689,0.177521965070304,0.25636126127848,"stable",0.892780208021936
"L-Norleucine","Com_9_pos","L-Norleucine","C6 H13 N O2",131.09483,3.576,132.1021,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",4132087348,4129698733,4204762773,4934592471.99999,4977867791,8392090377.99998,5310898610.00001,6883538789.00001,32.4732719532788,31.9523300867989,0.52094186647987,0.0259499086724888,0.0948946609137766,"up",1.44980109309019
"Acetyl-L-carnitine","Com_20_pos","Acetyl-L-carnitine","C9 H17 N O4",203.11604,1.879,204.12332,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",4752847654,4879227063.99999,5658371250.00001,3709323539,3682316890,4794714861.00001,2832773923,4673153952,31.8493182443704,32.2426300600773,-0.393311815706948,0.0493610560986374,0.13542733186297,"down",1.27837798232357
"DL-Carnitine","Com_22_pos","DL-Carnitine","C7 H15 N O3",161.10547,1.373,162.11274,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Carnitines",4884576155.00001,5115310451.00001,4836793806.00001,3622347296,3569495740,3269527524,2215728072,3392197197,31.5596984933583,32.20305492701,-0.6433564336517,0.00721151421337669,0.0517189125575685,"down",1.65903665754341
"Choline","Com_31_pos","Choline","C5 H13 N O",103.0999,1.345,104.10718,"Full match","Full match","No results","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Cholines",698461781.8,645812189.5,571877718.6,600395467.9,506459971.2,647530671.3,723241707.699999,740972602.600001,29.2484663474599,29.2457589408019,0.00270740665804325,0.984109469572249,0.558226331472984,"stable",0.015091419075169
"Betaine","Com_33_pos","Betaine","C5 H11 N O2",117.07919,1.364,118.08646,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",1449663351,1501631231,1407329248,1969360510,2239752609,2106246528,1760749100,1833389423,30.8786415604053,30.4357556403746,0.442885920030751,0.00114098883343771,0.0341436796162107,"up",1.80011285649632
"Valine","Com_34_pos","Valine","C5 H11 N O2",117.07911,1.811,118.08639,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Valine and derivatives",1002958977,1013656312,1091593104,1202413156,1420514537,1530300697,1407895474,1335979270,30.356872715818,29.94744164137,0.409431074447969,0.0010525467804976,0.033447031008435,"up",1.79396988845036
"Propionylcarnitine","Com_51_pos","Propionylcarnitine","C10 H19 N O4",217.13177,3.625,218.13904,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",2402508148,2540891903,2897226994,2716479635,2473565539,1763664026,3116051425,2146813903,31.1591173125282,31.2788692027835,-0.119751890255333,0.489615203687689,0.396565671070027,"stable",0.480528559960293
"N-Benzylformamide","Com_55_pos","N-Benzylformamide","C8 H9 N O",135.06867,2.666,136.07596,"Full match","Full match","No results","Benzenoids","Benzene and substituted derivatives","Not available","Benzene and substituted derivatives",592132042.600001,621049156.599999,710282700.700001,840305997.4,885621081.2,1471580178,912560580.299999,1205536406,29.9511092067857,29.2517646716116,0.699344535174109,0.00802152518500237,0.0535268031607238,"up",1.59700796565483
"L-Threonine","Com_103_pos","L-Threonine","C4 H9 N O3",119.05852,1.338,120.06578,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",82751611.71,86279543.06,89523737.6100001,86092044.7200001,89754376.94,195106607.3,105960617.9,136309959.5,26.7999623214292,26.360188736462,0.439773584967195,0.114462752236599,0.207251503018205,"stable",1.04501062792294
"Hexanoylcarnitine","Com_166_pos","Hexanoylcarnitine","C13 H25 N O4",259.17879,5.594,260.18607,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",44536221.13,46974684.59,43443799.9600001,31829928.37,34565374.12,33968034.66,16803481.1,46270280.69,24.8900437023778,25.4221676392819,-0.532123936904139,0.091140161569838,0.185935000380023,"stable",1.11759598767137
"N8-Acetylspermidine","Com_214_pos","N8-Acetylspermidine","C9 H21 N3 O",187.16893,1.316,188.17621,"Full match","Full match","No results","Organic acids and derivatives","Carboximidic acids and derivatives","Carboximidic acids","Carboximidic acids",15476612.97,14321881.46,15507131.79,14208948,13868642.93,14631111.36,16258405.82,17551089.01,23.8615790805502,23.8472442226142,0.0143348579359923,0.853867771389343,0.522985290442479,"stable",0.129719946749654
"1-Stearoylglycerol","Com_229_pos","1-Stearoylglycerol","C21 H42 O4",358.30868,10.713,359.31586,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerolipids","Monoradylglycerols","1-monoacylglycerols",3385591.177,7966049.42799999,2526622.35,2936015.154,3445839.36,1931222.375,4680359.449,6498431.754,21.7745565871153,21.9617293184723,-0.187172731357045,0.765090452538344,0.495556049108903,"stable",0.281135842491896
"2-Amino-1,3-octadecanediol","Com_259_pos","2-Amino-1,3-octadecanediol","C18 H39 N O2",301.29849,7.501,302.30577,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Amines","1,2-aminoalcohols",40905416.14,51235880.88,26476565.12,19582136.68,22635540.13,24947010.12,21587270.48,53085146.29,24.6505934484258,25.184884111486,-0.53429066306018,0.219297347848368,0.27935930978069,"stable",0.954027802575732
"Coumarin","Com_261_pos","Coumarin","C9 H6 O2",146.03701,2.667,147.04429,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Coumarins and derivatives","Not available","Coumarins and derivatives",83866204.6200001,81704963.0500001,100764940.4,126231057.5,133032773.4,249702784,141821273,193671803.8,27.2805744399705,26.3973083779519,0.883266062018556,0.00664951284500594,0.0507628196878212,"up",1.62120428485877
"Nicotinamide adenine dinucleotide (NAD+)","Com_336_pos","Nicotinamide adenine dinucleotide (NAD+)","C21 H27 N7 O14 P2",663.10961,1.665,664.11697,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",227052107.8,248861314,230019141.6,320818983,205281497.7,189307504,123769250,186577634.7,27.5449294982486,27.8087978695068,-0.263868371258248,0.297561671352521,0.32004180161035,"stable",0.688640250228372
"DL-Lysine","Com_342_pos","DL-Lysine","C6 H14 N2 O2",146.10578,1.188,147.11305,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",31249617.17,27423496.9,25573637.71,29487738.74,30086157.59,33731601.32,30985494.57,30780790.37,24.8848844924993,24.7381328156184,0.146751676880854,0.217810247687792,0.27863409538796,"stable",1.2356478749704
"Creatinine","Com_393_pos","Creatinine","C4 H7 N3 O",113.05914,1.417,114.06642,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",180360690.9,188913079.3,198050907.2,178259190.6,192138754.1,187301153.5,169792665.4,206894619.2,27.474255768516,27.4935843726749,-0.0193286041589786,0.766489987195431,0.496012909039507,"stable",0.221991274698109
