"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"D-(+)-Proline","Com_6_pos","D-(+)-Proline","C5 H9 N O2",115.06348,1.451,116.07075,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",9189106801.00002,8422337131.99998,8090053411.99999,9458909379.99998,10020090201,9096986664.99999,33.1479815800594,32.9941176834914,0.153863896567991,0.12698837565869,0.347769723452134,"stable",1.29291055762391
"L-Norleucine","Com_9_pos","L-Norleucine","C6 H13 N O2",131.09483,3.576,132.1021,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",6698981290.00001,9601268750,8520452750.00002,7554852721,6281621793.00001,9730517264,32.8477052583736,32.9300518130414,-0.0823465546677227,0.785332040108188,0.679011197910643,"stable",0.293142184163948
"Acetyl-L-carnitine","Com_20_pos","Acetyl-L-carnitine","C9 H17 N O4",203.11604,1.879,204.12332,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",1000579582,927612306.600001,862988200.299999,1325423208,871990500.100001,976061198.799999,29.9553131610826,29.7906336946014,0.164679466481235,0.368539286368379,0.511838898696192,"stable",0.682678342437692
"DL-Carnitine","Com_22_pos","DL-Carnitine","C7 H15 N O3",161.10547,1.373,162.11274,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Carnitines",1091591169,1039992204,933768112.6,875404820.699999,858354332,737902536.199999,29.6137427337574,29.9254000438861,-0.311657310128766,0.00347277713212997,0.160565855565529,"down",1.43893426839686
"Choline","Com_31_pos","Choline","C5 H13 N O",103.0999,1.345,104.10718,"Full match","Full match","No results","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Cholines",1376177616,1359136811,1208469050,1154898487,917274167.8,863106224.900001,29.8542865192759,30.2895321517693,-0.43524563249342,0.043764772037263,0.266483621617963,"down",1.44465111665634
"Betaine","Com_33_pos","Betaine","C5 H11 N O2",117.07919,1.364,118.08646,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",1182231869,1094613504,1429084767,784507659.700001,1273130312,1207008551,29.9872446639714,30.193028210547,-0.205783546575621,0.472712564330645,0.560110934240035,"stable",0.657838236300143
"Valine","Com_34_pos","Valine","C5 H11 N O2",117.07911,1.811,118.08639,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Valine and derivatives",4102094401,3611858582,3413417103,3844941403,4072140044,3837632174,31.8670079304156,31.7841257923968,0.0828821380187961,0.446340425692616,0.545921900836555,"stable",0.767171354208607
"Propionylcarnitine","Com_51_pos","Propionylcarnitine","C10 H19 N O4",217.13177,3.625,218.13904,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",323514469,509463501.3,478321083.1,217235909.9,215898319.1,268792433.4,27.7941271401501,28.6756875636106,-0.881560423460503,0.0448793619456332,0.268337044210586,"down",1.52710688592263
"N-Benzylformamide","Com_55_pos","N-Benzylformamide","C8 H9 N O",135.06867,2.666,136.07596,"Full match","Full match","No results","Benzenoids","Benzene and substituted derivatives","Not available","Benzene and substituted derivatives",1514754294,1463653019,1319030687,1696502400,1582670643,1694569759,30.6259673733974,30.4133980226082,0.212569350789234,0.107256273613681,0.336098810853336,"stable",1.44722626976874
"L-Threonine","Com_103_pos","L-Threonine","C4 H9 N O3",119.05852,1.338,120.06578,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",608356806.6,432271176.7,524851973.500001,389911435.2,465643454,425917113.2,28.6664063796319,28.9450130782772,-0.27860669864538,0.327035530093034,0.490872710432979,"stable",1.12778680796998
"Hexanoylcarnitine","Com_166_pos","Hexanoylcarnitine","C13 H25 N O4",259.17879,5.594,260.18607,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",9808720.60000001,11588057.61,8487073.968,11159771.21,5785367.49,6989887.394,22.8708730234907,23.236201595648,-0.365328572157296,0.401390082703846,0.52633666225113,"stable",0.873893654136917
"N8-Acetylspermidine","Com_214_pos","N8-Acetylspermidine","C9 H21 N3 O",187.16893,1.316,188.17621,"Full match","Full match","No results","Organic acids and derivatives","Carboximidic acids and derivatives","Carboximidic acids","Carboximidic acids",3060421.452,4385088.787,4411924.851,9731163.10699999,7117883.455,10662169.69,23.1077318046224,21.8941501067144,1.21358169790798,0.049850569649016,0.275849420870813,"up",1.59395893634867
"1-Stearoylglycerol","Com_229_pos","1-Stearoylglycerol","C21 H42 O4",358.30868,10.713,359.31586,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerolipids","Monoradylglycerols","1-monoacylglycerols",12098982.05,8803989.761,35706890.04,2102482.31,1715932.535,2055427.933,20.8950769969834,23.8959358404799,-3.00085884349648,0.0332124680186369,0.244848058704752,"down",1.59219105346457
"2-Amino-1,3-octadecanediol","Com_259_pos","2-Amino-1,3-octadecanediol","C18 H39 N O2",301.29849,7.501,302.30577,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Amines","1,2-aminoalcohols",37747388.07,48964454.75,177542650,32498651.52,30202329.93,23129726.71,24.7550926395738,26.0395651212208,-1.28447248164693,0.265643953690823,0.452809375245987,"stable",1.15840469336938
"Coumarin","Com_261_pos","Coumarin","C9 H6 O2",146.03701,2.667,147.04429,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Coumarins and derivatives","Not available","Coumarins and derivatives",261865776.5,256424575.4,222566872.7,300858212.4,277691650.3,297895506.5,28.121216058557,27.8759584038978,0.245257654659113,0.11460464215102,0.340818523657472,"stable",1.43065985399867
"Nicotinamide adenine dinucleotide (NAD+)","Com_336_pos","Nicotinamide adenine dinucleotide (NAD+)","C21 H27 N7 O14 P2",663.10961,1.665,664.11697,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",137843715,205778470.5,104795151.3,232518344.3,182901815.3,153031789.6,27.476173196619,27.0993239274162,0.376849269202868,0.31054886012553,0.481573456113854,"stable",0.849280587957054
