"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"D-(+)-Proline","Com_6_pos","D-(+)-Proline","C5 H9 N O2",115.06348,1.451,116.07075,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",9189106801.00002,8422337131.99998,8090053411.99999,9458909379.99998,10020090201,9096986664.99999,12270171440,8957640094,9338308301.99999,33.1898944541724,32.9941176834914,0.195776770681007,0.0622984117432547,0.218478487035982,"stable",1.26099772936402
"L-Norleucine","Com_9_pos","L-Norleucine","C6 H13 N O2",131.09483,3.576,132.1021,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",6698981290.00001,9601268750,8520452750.00002,7554852721,6281621793.00001,9730517264,9138085619.00002,6968928620.99999,7331786010,32.8503613090461,32.9300518130414,-0.0796905039952662,0.684650799100833,0.663668087649814,"stable",0.376164101859085
"Acetyl-L-carnitine","Com_20_pos","Acetyl-L-carnitine","C9 H17 N O4",203.11604,1.879,204.12332,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",1000579582,927612306.600001,862988200.299999,1325423208,871990500.100001,976061198.799999,2955981560,1349267255,953733315,30.247578211718,29.7906336946014,0.456944517116547,0.148333922460684,0.317638901454564,"stable",0.89660381870369
"DL-Carnitine","Com_22_pos","DL-Carnitine","C7 H15 N O3",161.10547,1.373,162.11274,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Carnitines",1091591169,1039992204,933768112.6,875404820.699999,858354332,737902536.199999,2106236800,1237363811,670957927.7,29.8899197273098,29.9254000438861,-0.0354803165763364,0.895221729260672,0.720681815890582,"stable",0.08086620538283
"Choline","Com_31_pos","Choline","C5 H13 N O",103.0999,1.345,104.10718,"Full match","Full match","No results","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Cholines",1376177616,1359136811,1208469050,1154898487,917274167.8,863106224.900001,366479328,560980851.799999,714944742.600001,29.414774821149,30.2895321517693,-0.874757330620366,0.0139112326261804,0.109444519300666,"down",1.5110662044928
"Betaine","Com_33_pos","Betaine","C5 H11 N O2",117.07919,1.364,118.08646,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",1182231869,1094613504,1429084767,784507659.700001,1273130312,1207008551,1407830912,1193996144,931468701.2,30.0501073331028,30.193028210547,-0.142920877444212,0.436908347526929,0.557370759905276,"stable",0.570014779273172
"Valine","Com_34_pos","Valine","C5 H11 N O2",117.07911,1.811,118.08639,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Valine and derivatives",4102094401,3611858582,3413417103,3844941403,4072140044,3837632174,3931248054,3779530313,4239006743,31.8783338287331,31.7841257923968,0.0942080363362763,0.353083809691944,0.504369932174947,"stable",1.08224943408337
"Propionylcarnitine","Com_51_pos","Propionylcarnitine","C10 H19 N O4",217.13177,3.625,218.13904,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",323514469,509463501.3,478321083.1,217235909.9,215898319.1,268792433.4,439029968.6,444792543.5,158946481.8,28.0107748011716,28.6756875636106,-0.664912762438973,0.0788691024869205,0.240934594078074,"stable",1.21552364232696
"N-Benzylformamide","Com_55_pos","N-Benzylformamide","C8 H9 N O",135.06867,2.666,136.07596,"Full match","Full match","No results","Benzenoids","Benzene and substituted derivatives","Not available","Benzene and substituted derivatives",1514754294,1463653019,1319030687,1696502400,1582670643,1694569759,2437355960,1656414062,1878589975,30.7488318693031,30.4133980226082,0.335433846694926,0.0190210887124038,0.125315007943828,"up",1.47743079286298
"L-Threonine","Com_103_pos","L-Threonine","C4 H9 N O3",119.05852,1.338,120.06578,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",608356806.6,432271176.7,524851973.500001,389911435.2,465643454,425917113.2,677469718.200001,412456358.7,580085410.8,28.8443594486971,28.9450130782772,-0.100653629580144,0.621260668794675,0.641648310647789,"stable",0.395937287053219
"Hexanoylcarnitine","Com_166_pos","Hexanoylcarnitine","C13 H25 N O4",259.17879,5.594,260.18607,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",9808720.60000001,11588057.61,8487073.968,11159771.21,5785367.49,6989887.394,12651962.79,9193383.73,6556555.828,22.997024702358,23.236201595648,-0.239176893290033,0.324618984647319,0.483362860037367,"stable",0.673345299976382
"N8-Acetylspermidine","Com_214_pos","N8-Acetylspermidine","C9 H21 N3 O",187.16893,1.316,188.17621,"Full match","Full match","No results","Organic acids and derivatives","Carboximidic acids and derivatives","Carboximidic acids","Carboximidic acids",3060421.452,4385088.787,4411924.851,9731163.10699999,7117883.455,10662169.69,20634459.91,6280507.35399999,4058783.531,23.0261355667428,21.8941501067144,1.13198546002836,0.0185886234308476,0.124174522512971,"up",1.45663440363565
"1-Stearoylglycerol","Com_229_pos","1-Stearoylglycerol","C21 H42 O4",358.30868,10.713,359.31586,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerolipids","Monoradylglycerols","1-monoacylglycerols",12098982.05,8803989.761,35706890.04,2102482.31,1715932.535,2055427.933,3327679.562,2130314.214,6395116.556,21.3304150179073,23.8959358404799,-2.56552082257261,0.0335897581373504,0.165166614818798,"down",1.9003510400531
"2-Amino-1,3-octadecanediol","Com_259_pos","2-Amino-1,3-octadecanediol","C18 H39 N O2",301.29849,7.501,302.30577,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Amines","1,2-aminoalcohols",37747388.07,48964454.75,177542650,32498651.52,30202329.93,23129726.71,9822504.383,23754761.55,54608607.5800001,24.6162126365276,26.0395651212208,-1.42335248469323,0.161196258325196,0.330973903257763,"stable",1.39365683200973
"Coumarin","Com_261_pos","Coumarin","C9 H6 O2",146.03701,2.667,147.04429,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Coumarins and derivatives","Not available","Coumarins and derivatives",261865776.5,256424575.4,222566872.7,300858212.4,277691650.3,297895506.5,446393536.3,291885828.8,340238887.2,28.2600318001413,27.8759584038978,0.384073396243455,0.0191945163987296,0.125763597783998,"up",1.49872125473999
"Nicotinamide adenine dinucleotide (NAD+)","Com_336_pos","Nicotinamide adenine dinucleotide (NAD+)","C21 H27 N7 O14 P2",663.10961,1.665,664.11697,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",137843715,205778470.5,104795151.3,232518344.3,182901815.3,153031789.6,223382618.7,169606373,165312705.8,27.4669497992809,27.0993239274162,0.367625871864771,0.322464034919097,0.481699761757922,"stable",1.12352212013821
"DL-Lysine","Com_342_pos","DL-Lysine","C6 H14 N2 O2",146.10578,1.188,147.11305,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",57044706.63,53980698.9,48885306.1,70066079.8300001,80369412.6700001,77676130.7699999,128713414.3,80198775.11,72675247.7,26.3074914733964,25.6648091850179,0.642682288378513,0.00341504656414381,0.0535725168675346,"up",1.72398607586897
"Creatinine","Com_393_pos","Creatinine","C4 H7 N3 O",113.05914,1.417,114.06642,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",252557217.9,225964415.1,196502524.7,267948433.1,242335953.7,224496784.9,145394787.3,228984137.5,148031996,27.6032232377446,27.7378426647304,-0.134619426985729,0.494252402358628,0.5875438650306,"stable",0.465989965253315
"N3,N4-Dimethyl-L-arginine","Com_494_pos","N3,N4-Dimethyl-L-arginine","C8 H18 N4 O2",202.14326,1.468,203.15054,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",34736738.22,33800567.31,25769322.08,51905178.43,48244339.09,50775813.6899999,63508843.6800001,51699527.59,44542763.07,25.6172765403582,24.893218109761,0.724058430597175,0.0172902922361231,0.120551050296063,"up",1.98326177998201
"Urocanic acid","Com_502_pos","Urocanic acid","C6 H6 N2 O2",138.04309,1.895,139.05037,"Full match","Full match","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",87550243.64,72219337.9499999,133627301.7,66922332.42,87158392.94,81106451.95,89650261.49,101661103.4,104101326.8,26.3828073708236,26.4943764247047,-0.111569053881066,0.720350190893355,0.674917659924642,"stable",0.414620199736235
"Pipecolic acid","Com_553_pos","Pipecolic acid","C6 H11 N O2",129.07923,1.189,147.11306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",57044706.63,53980698.9,48885306.1,70066079.8300001,80369412.6700001,77676130.7699999,128713414.3,80198775.11,72675247.7,26.3074914733964,25.6648091850179,0.642682288378513,0.00341504656414381,0.0535725168675346,"up",1.72398607586897
"Spermine","Com_555_pos","Spermine","C10 H26 N4",202.21608,1.186,203.22336,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Amines","Dialkylamines",2871101.025,7119623.05,476563.891,17064448.2,9282172.15000001,14877800.73,12181312.73,13372372.87,2429095.905,23.2366809746523,21.0262840704122,2.21039690424003,0.183592135110257,0.354953067265031,"stable",1.44274785943976
"1-Methylhistidine","Com_606_pos","1-Methylhistidine","C7 H11 N3 O2",169.08544,1.325,170.09269,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",17171928.67,23386333.22,18224975.51,23934885.21,23481723.22,26368090.89,44708277.79,18970162.69,27196976.33,24.6563577614731,24.2107082102289,0.445649551244159,0.0815969473777263,0.244087812155806,"stable",1.19461747400336
"Υ-Glutamylcysteine","Com_939_pos","Υ-Glutamylcysteine","C8 H14 N2 O5 S",250.06264,2.003,251.06991,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",1291452.993,1269233.489,46654034.5800001,6029959.395,5765372.43500001,1144942.899,3712479.891,1396600.496,25912366.66,21.9956867739529,22.0171960922762,-0.0215093183233463,0.991569729758953,0.740787188142195,"stable",0.0120216119022929
"Guanine","Com_977_pos","Guanine","C5 H5 N5 O",151.04965,1.686,152.05693,"Full match","Full match","Full match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Purines and purine derivatives",27608885.45,23965825.26,24566341.9,86409197.7299999,39552927.02,81979388.5700001,11695504,91566907.7899999,56747558.12,25.5960915358013,24.5944281024539,1.00166343334734,0.0830013911629816,0.245660696321147,"stable",1.07812302167775
"Thiamine","Com_1455_pos","Thiamine","C12 H16 N4 O S",264.10483,1.4,265.11211,"Full match","Full match","No results","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Thiamines",4002701.043,8381796.20300001,5202109.13900001,6161016.33999999,5838190.61699999,4186821.156,45413129.32,10075605.7,8840574.68099999,23.1343214590651,22.4140118951313,0.720309563933824,0.258750769673412,0.427181493665281,"stable",0.751635987484472
