"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","OCI_M2_WT_1","OCI_M2_WT_2","OCI_M2_WT_3","OCI_M2_2w_1","OCI_M2_2w_2","OCI_M2_2w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"D-(+)-Proline","Com_6_pos","D-(+)-Proline","C5 H9 N O2",115.06348,1.451,116.07075,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",9162425364.99999,7512488742.99999,7782244005.00001,7960248888.00001,8579030529,8227015702.00002,32.9420186412851,32.9190884142686,0.0229302270165519,0.863198002745695,0.670765898132467,"stable",0.22991824870837
"L-Norleucine","Com_9_pos","L-Norleucine","C6 H13 N O2",131.09483,3.576,132.1021,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",6201761424,6866250910.00001,6026062495.99999,6288041572.99999,7000722091,5887211082,32.569919136714,32.5651582676387,0.0047608690752412,0.828479256240834,0.661637235664617,"stable",0.0486159450705994
"Acetyl-L-carnitine","Com_20_pos","Acetyl-L-carnitine","C9 H17 N O4",203.11604,1.879,204.12332,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",7212006505,7105552399.00002,7066743571.00001,7386044706,7923080008.99999,7491410380.00001,32.822719760955,32.7308172103057,0.0919025506493369,0.123168016885225,0.43374579763384,"stable",1.54970301499346
"DL-Carnitine","Com_22_pos","DL-Carnitine","C7 H15 N O3",161.10547,1.373,162.11274,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Carnitines",3112380713,3298378263,3290167882,3657965232,3865660750,3835135682,31.8176975254226,31.5899983883903,0.227699137032324,0.000235414462401833,0.09193770785583,"stable",1.79867322276776
"Choline","Com_31_pos","Choline","C5 H13 N O",103.0999,1.345,104.10718,"Full match","Full match","No results","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Cholines",853120697,590780697.4,666576702.299999,716939771.300001,857051217.499999,899784066.299999,29.6123621484308,29.372805908491,0.239556239939827,0.434512925017958,0.525813469995069,"stable",1.027353270779
"Betaine","Com_33_pos","Betaine","C5 H11 N O2",117.07919,1.364,118.08646,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",3213340517,2324415489,2205115200,1968451905,2228732522,2727496159,31.0909735582089,31.2446181445283,-0.153644586319473,0.655757807109363,0.607495928239117,"stable",0.627836852197778
"Valine","Com_34_pos","Valine","C5 H11 N O2",117.07911,1.811,118.08639,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Valine and derivatives",2585228824,2528380491,2594941044,2668431265,2757520507,2605025433,31.3175731614973,31.258755297934,0.0588178635632772,0.236074118272495,0.489319887594656,"stable",1.40465794034778
"Propionylcarnitine","Com_51_pos","Propionylcarnitine","C10 H19 N O4",217.13177,3.625,218.13904,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",1046735509,1045632500,950139500.699999,1102205696,1468266859,1247612564,30.2352454132067,29.9161808827552,0.319064530451541,0.125998107849214,0.436071771348771,"stable",1.47300892258071
"N-Benzylformamide","Com_55_pos","N-Benzylformamide","C8 H9 N O",135.06867,2.666,136.07596,"Full match","Full match","No results","Benzenoids","Benzene and substituted derivatives","Not available","Benzene and substituted derivatives",1391577158,1480526461,1475265370,1513557948,1633243782,1485480887,30.5228908877078,30.4319547432767,0.0909361444310512,0.156323137955326,0.456750512476545,"stable",1.2599373451818
"L-Threonine","Com_103_pos","L-Threonine","C4 H9 N O3",119.05852,1.338,120.06578,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",499415015.2,388163523.6,447299018.2,461816557.600001,445720112.600001,548744217.8,28.8486220239165,28.7214725394118,0.127149484504692,0.41036485728263,0.523080701498876,"stable",0.780940514930536
"Hexanoylcarnitine","Com_166_pos","Hexanoylcarnitine","C13 H25 N O4",259.17879,5.594,260.18607,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",104548951.4,148620566,107067233.3,188589924.5,264679288.6,148353504.8,27.5382703987209,26.8202012218323,0.718069176888594,0.0285001203380857,0.289853217524183,"up",1.46628626084962
"N8-Acetylspermidine","Com_214_pos","N8-Acetylspermidine","C9 H21 N3 O",187.16893,1.316,188.17621,"Full match","Full match","No results","Organic acids and derivatives","Carboximidic acids and derivatives","Carboximidic acids","Carboximidic acids",126507541,163408731.9,126077149,92825227.49,74771707.7200001,72738139.03,26.2467371457662,27.0360965187515,-0.789359372985317,0.0568418120160251,0.347584511379306,"stable",1.74233746515362
"1-Stearoylglycerol","Com_229_pos","1-Stearoylglycerol","C21 H42 O4",358.30868,10.713,359.31586,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerolipids","Monoradylglycerols","1-monoacylglycerols",3819448.1,3994234.961,2583729.073,3112199.053,3255858.104,3874439.283,21.6965551353153,21.6984812987112,-0.0019261633958827,0.995355213102966,0.701427908183218,"stable",0.00821707276104003
