"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_3","MV4_11_6w_1","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"D-(+)-Proline","Com_6_pos","D-(+)-Proline","C5 H9 N O2",115.06348,1.451,116.07075,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Proline and derivatives",7268721635.00002,7136261759.99999,7503475019.00001,10444164529,9098569493,12270171440,33.2931356620786,32.7654958821663,0.527639779912342,0.0480118713216004,0.221716998478792,"up",1.54056577720489
"L-Norleucine","Com_9_pos","L-Norleucine","C6 H13 N O2",131.09483,3.576,132.1021,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",4132087348,4129698733,4204762773,8392090377.99998,6883538789.00001,9138085619.00002,32.9120437246618,31.9523300867989,0.959713637862894,0.0151834523326976,0.176652477944435,"up",1.65622469286123
"Acetyl-L-carnitine","Com_20_pos","Acetyl-L-carnitine","C9 H17 N O4",203.11604,1.879,204.12332,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",4752847654,4879227063.99999,5658371250.00001,4794714861.00001,4673153952,2955981560,31.9138458063986,32.2426300600773,-0.328784253678716,0.281629880032837,0.364779313913107,"stable",0.965893878423261
"DL-Carnitine","Com_22_pos","DL-Carnitine","C7 H15 N O3",161.10547,1.373,162.11274,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Carnitines",4884576155.00001,5115310451.00001,4836793806.00001,3269527524,3392197197,2106236800,31.4126761383501,32.20305492701,-0.790378788659979,0.0682235722747384,0.237230025231112,"stable",1.4890454088711
"Choline","Com_31_pos","Choline","C5 H13 N O",103.0999,1.345,104.10718,"Full match","Full match","No results","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Cholines",698461781.8,645812189.5,571877718.6,647530671.3,740972602.600001,366479328,29.0614582765854,29.2457589408019,-0.184300664216451,0.618703949000281,0.48645607212453,"stable",0.469540435005292
"Betaine","Com_33_pos","Betaine","C5 H11 N O2",117.07919,1.364,118.08646,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",1449663351,1501631231,1407329248,2106246528,1833389423,1407830912,30.7115733982211,30.4357556403746,0.27581775784655,0.245247197551892,0.346510322072178,"stable",1.06642727353663
"Valine","Com_34_pos","Valine","C5 H11 N O2",117.07911,1.811,118.08639,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Valine and derivatives",1002958977,1013656312,1091593104,1530300697,1335979270,3931248054,30.8995862485269,29.94744164137,0.952144607156882,0.190576513981098,0.324116867298242,"stable",1.1890261604276
"Propionylcarnitine","Com_51_pos","Propionylcarnitine","C10 H19 N O4",217.13177,3.625,218.13904,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",2402508148,2540891903,2897226994,1763664026,2146813903,439029968.6,30.1417409277186,31.2788692027835,-1.13712827506494,0.25443655007884,0.350254230132438,"stable",1.05415592182707
"N-Benzylformamide","Com_55_pos","N-Benzylformamide","C8 H9 N O",135.06867,2.666,136.07596,"Full match","Full match","No results","Benzenoids","Benzene and substituted derivatives","Not available","Benzene and substituted derivatives",592132042.600001,621049156.599999,710282700.700001,1471580178,1205536406,2437355960,30.6014722976099,29.2517646716116,1.34970762599832,0.0393812012745976,0.216128399147699,"up",1.55044024065349
"L-Threonine","Com_103_pos","L-Threonine","C4 H9 N O3",119.05852,1.338,120.06578,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","L-alpha-amino acids",82751611.71,86279543.06,89523737.6100001,195106607.3,136309959.5,677469718.200001,27.9658614504882,26.360188736462,1.60567271402622,0.148804651030809,0.299725013914957,"stable",1.28629764372688
"Hexanoylcarnitine","Com_166_pos","Hexanoylcarnitine","C13 H25 N O4",259.17879,5.594,260.18607,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines",44536221.13,46974684.59,43443799.9600001,33968034.66,46270280.69,12651962.79,24.6913716032624,25.4221676392819,-0.730796036019559,0.324421652211805,0.386115788963686,"stable",0.927607821055341
"N8-Acetylspermidine","Com_214_pos","N8-Acetylspermidine","C9 H21 N3 O",187.16893,1.316,188.17621,"Full match","Full match","No results","Organic acids and derivatives","Carboximidic acids and derivatives","Carboximidic acids","Carboximidic acids",15476612.97,14321881.46,15507131.79,14631111.36,17551089.01,20634459.91,24.055381859543,23.8472442226142,0.208137636928811,0.28098829514848,0.364430707374726,"stable",0.981934149562158
"1-Stearoylglycerol","Com_229_pos","1-Stearoylglycerol","C21 H42 O4",358.30868,10.713,359.31586,"Full match","Full match","No results","Lipids and lipid-like molecules","Glycerolipids","Monoradylglycerols","1-monoacylglycerols",3385591.177,7966049.42799999,2526622.35,1931222.375,6498431.754,3327679.562,21.7262760398609,21.9617293184723,-0.235453278611388,0.756645286207983,0.534435123386406,"stable",0.279667479775235
"2-Amino-1,3-octadecanediol","Com_259_pos","2-Amino-1,3-octadecanediol","C18 H39 N O2",301.29849,7.501,302.30577,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Amines","1,2-aminoalcohols",40905416.14,51235880.88,26476565.12,24947010.12,53085146.29,9822504.383,24.4872759874783,25.184884111486,-0.69760812400774,0.433899535125279,0.427653246084965,"stable",0.71459603984462
"Coumarin","Com_261_pos","Coumarin","C9 H6 O2",146.03701,2.667,147.04429,"Full match","Full match","Full match","Phenylpropanoids and polyketides","Coumarins and derivatives","Not available","Coumarins and derivatives",83866204.6200001,81704963.0500001,100764940.4,249702784,193671803.8,446393536.3,28.0528054172644,26.3973083779519,1.65549703931246,0.0359905447787466,0.213310562340383,"up",1.56035284659579
"Nicotinamide adenine dinucleotide (NAD+)","Com_336_pos","Nicotinamide adenine dinucleotide (NAD+)","C21 H27 N7 O14 P2",663.10961,1.665,664.11697,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","(5'->5')-dinucleotides","Not available","(5'->5')-dinucleotides",227052107.8,248861314,230019141.6,189307504,186577634.7,223382618.7,27.5687662901197,27.8087978695068,-0.240031579387097,0.0837257809229613,0.248138318690113,"stable",1.35040032058041
"DL-Lysine","Com_342_pos","DL-Lysine","C6 H14 N2 O2",146.10578,1.188,147.11305,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",31249617.17,27423496.9,25573637.71,33731601.32,30780790.37,128713414.3,25.6075705297198,24.7381328156184,0.869437714101416,0.321803817596455,0.384910415559507,"stable",0.927479579985624
"Creatinine","Com_393_pos","Creatinine","C4 H7 N3 O",113.05914,1.417,114.06642,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",180360690.9,188913079.3,198050907.2,187301153.5,206894619.2,145394787.3,27.4068352444287,27.4935843726749,-0.0867491282462574,0.629137030459787,0.489316661514117,"stable",0.456487873198516
"N3,N4-Dimethyl-L-arginine","Com_494_pos","N3,N4-Dimethyl-L-arginine","C8 H18 N4 O2",202.14326,1.468,203.15054,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Arginine and derivatives",53026852.15,48985336.66,56290351.71,109290854.9,80056998.4100001,63508843.6800001,26.2928586006552,25.6508169061195,0.642041694535752,0.0973996004749501,0.260036796715099,"stable",1.38013913540365
"Urocanic acid","Com_502_pos","Urocanic acid","C6 H6 N2 O2",138.04309,1.895,139.05037,"Full match","Full match","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazolyl carboxylic acids and derivatives",93090098.7400001,71812973.6400001,81690598.3899999,87247726.59,225148444.8,89650261.49,26.8475733101996,26.2845107581701,0.563062552029471,0.336358456735278,0.391463749698705,"stable",0.888551583213206
"Pipecolic acid","Com_553_pos","Pipecolic acid","C6 H11 N O2",129.07923,1.189,147.11306,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids",31249617.17,29891855.87,25573637.71,33731601.32,30780790.37,128713414.3,25.6075705297198,24.7795794567648,0.827991072955005,0.339998456759964,0.393047775246982,"stable",0.89527188294461
"Spermine","Com_555_pos","Spermine","C10 H26 N4",202.21608,1.186,203.22336,"Full match","Full match","Full match","Organic nitrogen compounds","Organonitrogen compounds","Amines","Dialkylamines",11531139.74,12693491.13,39967496.42,32097275.2,46179014.79,12181312.73,24.644949277026,24.1029804087101,0.541968868315912,0.541512877328429,0.46318017579253,"stable",0.5401864710212
"1-Methylhistidine","Com_606_pos","1-Methylhistidine","C7 H11 N3 O2",169.08544,1.325,170.09269,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",16732853.14,17868687.74,22635728.31,61518303.94,34911065.89,44708277.79,25.4485773665036,24.1730696230702,1.27550774343343,0.0163856880658546,0.180591205820825,"up",1.57224496101254
"Υ-Glutamylcysteine","Com_939_pos","Υ-Glutamylcysteine","C8 H14 N2 O5 S",250.06264,2.003,251.06991,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",5000315.325,11931351.81,7100699.589,2120314.551,1478788.412,3712479.891,21.1119276229973,22.8404571860841,-1.72852956308682,0.0313968085902674,0.208686912612913,"down",1.45551893959594
